,luminosity,temperature,mass,gravity,age
0,-5.349013007220217,1022.0,0.0544640733820282,5.5148955876727825,8.0
1,-5.204342191304348,1114.0,0.057356888058433836,5.5435301397987,8.0
2,-5.08238695652174,1197.0,0.06024970273483948,5.567740622752414,8.0
3,-4.699447646226416,1487.0,0.06314251741124512,5.581612057704746,8.0
4,-4.602785603960395,1567.0,0.06376240857142856,5.579793430219235,8.0
5,-4.711972183246074,1461.0,0.06438229714285713,5.571712273448677,8.0
6,-4.571102590604027,1567.0,0.0650021857142857,5.55697937939528,8.0
7,-4.565493093954562,1553.0,0.06562207428571429,5.539625264143862,8.0
8,-4.462262640674729,1638.0,0.06603533208765076,5.531562048268061,8.0
9,-4.402546411504424,1689.0,0.06624196285714286,5.526698935167018,8.0
10,-4.22609067278798,1845.0,0.06686185142857143,5.508336279251925,8.0
11,-4.0491832876636344,2016.0,0.06748174,5.4891654462456785,8.0
12,-3.8461288092065415,2224.0,0.06810162857142857,5.4606682346192486,8.0
13,-3.735622096468678,2344.0,0.06872151714285714,5.444936570314444,8.0
14,-3.7053855311951893,2377.0,0.0689281467640564,5.440414512437009,8.0
15,-3.653138395799677,2435.0,0.06934140571428571,5.432905380762995,8.0
16,-3.586838695202492,2510.0,0.06996129428571429,5.423416110368851,8.0
17,-3.5297002662479517,2575.0,0.07058118285714286,5.414509273467501,8.0
18,-3.4797146767359752,2632.0,0.07120107142857143,5.405892968304274,8.0
19,-3.4357398531494594,2681.0,0.07182096144046204,5.397925090100177,8.0
20,-3.279777958629207,2855.0,0.07471377611686768,5.368200745913791,8.0
21,-3.1665147233078446,2982.0,0.07760659079327331,5.346879476726377,8.0
22,-3.078774361910594,3075.0,0.08049940546967896,5.328501968285895,8.0
23,-2.7951677339203105,3338.0,0.09548156956004757,5.2615182066301935,8.0
24,-2.620000943464622,3473.0,0.11046373365041617,5.218638706251738,8.0
25,-2.588533932262363,3494.0,0.11379310344827587,5.21055671600993,8.0
26,-2.480429677308668,3575.0,0.1254458977407848,5.184734673564712,8.0
27,-2.3432074224469774,3699.0,0.1404280618311534,5.15553233808545,8.0
28,-2.2491358149656397,3739.0,0.15541022592152198,5.12436968010214,8.0
29,-2.2114103182288236,3754.0,0.16206896551724137,5.111601946867957,8.0
30,-2.1673621778706043,3770.0,0.1703923900118906,5.096749199598311,8.0
31,-2.095240791532258,3795.0,0.18537455410225923,5.072708055565031,8.0
32,-2.030778809948033,3816.0,0.20035671819262785,5.0518053414638775,8.0
33,-1.9912603473893766,3829.0,0.21034482758620693,5.039346354470143,8.0
34,-1.972391108974943,3835.0,0.2153388822829964,5.033504451386477,8.0
35,-1.9189580107334525,3854.0,0.23032104637336503,5.017447756185487,8.0
36,-1.8695450403908795,3871.0,0.24530321046373366,5.003275495960457,8.0
37,-1.8285619446865837,3886.0,0.25862068965517243,4.9921152240424105,8.0
38,-1.8235957329128776,3888.0,0.2602853745541023,4.990790680987497,8.0
39,-1.7792391344077847,3905.0,0.27526753864447084,4.978139850821486,8.0
40,-1.726479396947128,3931.0,0.29024970273483947,4.959991078646029,8.0
41,-1.6698179899765409,3964.0,0.3052318668252081,4.939638948388792,8.0
42,-1.6632446419430484,3968.0,0.30689655172413793,4.937243218896661,8.0
43,-1.6086751182043435,4006.0,0.3202140309155767,4.917628776638055,8.0
44,-1.5432254921453874,4059.0,0.33519619500594533,4.894830818265473,8.0
45,-1.4739546350261823,4123.0,0.3501783590963139,4.871865646445813,8.0
46,-1.4502024291526623,4147.0,0.3551724137931035,4.86428307257742,8.0
47,-1.4017360010926971,4199.0,0.3651605231866825,4.8493270859013045,8.0
48,-1.3269671509488767,4287.0,0.38014268727705114,4.828198519132448,8.0
49,-1.2498578188537761,4392.0,0.3951248513674197,4.809905533576647,8.0
50,-1.2062643290351267,4458.0,0.403448275862069,4.801266097197471,8.0
51,-1.1711369354218502,4514.0,0.4101070154577883,4.794885207686681,8.0
52,-1.092415916994044,4645.0,0.42508917954815695,4.781520031209675,8.0
53,-1.0142425186268278,4782.0,0.44007134363852557,4.768967462436315,8.0
54,-0.9540036029962546,4892.0,0.4517241379310345,4.759377812054646,8.0
55,-0.9368883115922894,4923.0,0.4550535077288942,4.756624916544614,8.0
56,-0.8602608006497342,5066.0,0.47003567181926276,4.743791265103951,8.0
57,-0.7844278328540011,5208.0,0.4850178359096314,4.729710291652294,8.0
58,-0.7091374951606658,5348.0,0.5,4.713687921224905,8.0
59,-0.6095173062857142,5524.0,0.52,4.687137901223647,8.0
60,-0.6023759579929988,5537.0,0.5214285714285715,4.685332556762854,8.0
61,-0.5592826571428572,5615.0,0.53,4.673644725475351,8.0
62,-0.508997746430611,5704.0,0.54,4.658831891980471,8.0
63,-0.49459212376237627,5729.0,0.5428571428571428,4.6543224710343996,8.0
64,-0.45844069182389935,5791.0,0.55,4.6424908325206475,8.0
65,-0.4075848216159496,5875.0,0.56,4.624468327971454,8.0
66,-0.3856535976331361,5910.0,0.5642857142857143,4.616185227294035,8.0
67,-0.35621844866612773,5956.0,0.57,4.604534007632052,8.0
68,-0.3040448213796254,6034.0,0.58,4.582540535438935,8.0
69,-0.27375936425449243,6077.0,0.5857142857142857,4.568910069554994,8.0
70,-0.2507016771819138,6109.0,0.59,4.558124792467885,8.0
71,-0.1957945496453901,6181.0,0.6,4.53098816492082,8.0
72,-0.15525796428571428,6232.0,0.6071428571428572,4.509671017339188,8.0
73,-5.302594823408624,1055.0,0.057356888058433836,5.54669749509912,8.5
74,-5.1758157589928055,1137.0,0.06024970273483948,5.571559496227547,8.5
