,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
28,0.075,0.744380301,2330.03242313,-3.581267,0.09955472,5.31735312,12.59566056,11.47352175,10.85991107,10.57169399,9.84158644,10.4589599,10.28565474,10.22864577,9.71902416,9.70236281,10.02872358,10.17821607
29,0.075,0.942668455,2255.44533285,-3.66235362,0.09678161,5.34189027,12.86469468,11.66178729,11.02944988,10.75923082,9.97385401,10.65892013,10.44231101,10.40097172,9.83930357,9.82453264,10.17256043,10.34584645
30,0.075,1.19377664,2188.84825137,-3.7349952,0.09451518,5.36247244,13.10482825,11.83257478,11.18257666,10.93414234,10.09717858,10.81737651,10.59310972,10.54245979,9.94013659,9.92160388,10.31248134,10.48462447
31,0.075,1.51177507,2130.57373615,-3.79912617,0.09265497,5.37973815,13.31472502,11.98525231,11.32072778,11.09514531,10.21304799,10.94986961,10.7404142,10.663797,10.02744849,10.00271128,10.44919828,10.60411263
32,0.075,1.91448198,2077.10645268,-3.85749109,0.09115178,5.39394523,13.50190464,12.12289883,11.44526103,11.24332571,10.3218315,11.06164008,10.88333627,10.76834176,10.10328882,10.07076793,10.58151256,10.70750285
33,0.075,2.42446202,2030.67686145,-3.90794451,0.08998616,5.40512403,13.65661901,12.24095742,11.55339516,11.37525513,10.4232248,11.14849469,11.02111277,10.85278156,10.1662171,10.12483727,10.70879809,10.79178029
34,0.075,3.07029063,1993.9722368,-3.94809692,0.08911285,5.41359479,13.7774099,12.33447259,11.6402798,11.48205733,10.50651219,11.21683337,11.1359618,10.91996053,10.21621243,10.16702028,10.81446304,10.85887514
35,0.075,3.88815518,1966.80670146,-3.97815022,0.08847798,5.41980513,13.8639106,12.40393509,11.70634372,11.56412477,10.57254941,11.26558059,11.22794561,10.96901784,10.25348863,10.19799809,10.89897607,10.90809485
36,0.075,4.92388263,1947.58705566,-3.99951099,0.08803986,5.42411684,13.9223305,12.45276879,11.7542103,11.62416335,10.622279,11.2986297,11.29750087,11.00300866,10.2798626,10.21979833,10.96292411,10.94238982
37,0.075,6.23550734,1935.19106934,-4.01334706,0.08776296,5.42685293,13.95912068,12.48418469,11.78546739,11.66364745,10.65541089,11.31948562,11.34401312,11.02472504,10.29686882,10.23377185,11.00566325,10.9643681
38,0.075,7.89652287,1928.18716355,-4.02117866,0.08760758,5.42839208,13.97970885,12.50194882,11.80326154,11.68622297,10.67446136,11.33117401,11.37081077,11.03697207,10.30649859,10.24165493,11.03027426,10.97678257
39,0.075,10.0,1924.77863185,-4.02498685,0.0875325,5.42913679,13.9896827,12.51059396,11.81194682,11.6972692,10.6838031,11.33683758,11.38396838,11.04292415,10.31118418,10.24548116,11.04235338,10.9828207
0,0.013,0.001,2477.39177273,-2.53323067,0.29431798,3.61472696,9.68859778,8.91477805,8.46451729,7.99009988,7.3841632,7.43750135,7.71049561,7.40365892,7.06925517,6.93092692,7.53227918,7.39171555
1,0.013,0.00126638017,2445.49387671,-2.61822219,0.27389738,3.67718412,9.90478186,9.1132499,8.66591846,8.18577043,7.56876959,7.64584131,7.90881267,7.60561962,7.25574216,7.12515732,7.72242664,7.59193355
2,0.013,0.00160371874,2414.27783713,-2.70060672,0.25559203,3.73726576,10.11588028,9.30561223,8.86067974,8.37565225,7.74733375,7.85168146,8.1011028,7.80398882,7.43715952,7.31540151,7.90646877,7.78835671
3,0.013,0.00203091762,2379.34889197,-2.7847003,0.23887268,3.79602744,10.33384906,9.50147039,9.05828953,8.56820832,7.92654534,8.06646225,8.29551191,8.00862576,7.62048675,7.50944989,8.09158821,7.99050054
4,0.013,0.00257191381,2337.06446688,-2.87318277,0.2236145,3.85336044,10.56576504,9.7058249,9.26426521,8.76813831,8.10949914,8.29548496,8.49647967,8.22458267,7.80840488,7.71068142,8.28142975,8.20326046
5,0.013,0.00325702066,2290.75050666,-2.96294399,0.20989012,3.9083743,10.80650539,9.9140485,9.47204321,8.97066384,8.29144918,8.53516372,8.69794714,8.44690091,7.99625807,7.91295024,8.47064088,8.4216754
6,0.013,0.00412462638,2243.8425174,-3.05090711,0.19769068,3.9603864,11.04815856,10.11959268,9.67472064,9.17046399,8.46765811,8.77791189,8.89330839,8.66834801,8.17855818,8.10909552,8.65372364,8.63875729
7,0.013,0.00522334507,2191.63292345,-3.1398802,0.18704823,4.0084529,11.29740725,10.32583051,9.87698563,9.37173538,8.63993418,9.02292256,9.08484931,8.88946263,8.35415585,8.29655898,8.83283914,8.85513867
8,0.013,0.00661474064,2120.67284892,-3.23873093,0.17828255,4.05014234,11.58958436,10.55473632,10.09652496,9.59207684,8.81672663,9.28853762,9.28533449,9.12585865,8.52735043,8.47903521,9.01851942,9.085722
9,0.013,0.0083767764,2063.31144535,-3.32097566,0.17132315,4.08472552,11.83907761,10.74908796,10.28005686,9.781082,8.9655864,9.50614175,9.45478319,9.3199329,8.66905906,8.62560057,9.17633461,9.27536413
10,0.013,0.0106081836,2014.72930494,-3.3906322,0.16583356,4.11301361,12.05348921,10.91519914,10.43547823,9.94533273,9.0929022,9.68719552,9.60215303,9.48169897,8.78630474,8.74459437,9.31371315,9.4336105
11,0.013,0.0134339933,1969.41688023,-3.45295942,0.16153416,4.13582928,12.25155342,11.06376865,10.57302994,10.09793856,9.20910021,9.83986542,9.74419471,9.61974457,8.8861323,8.84127272,9.44555893,9.56899207
12,0.013,0.0170125428,1928.39663617,-3.50802144,0.15813087,4.15432468,12.42631165,11.1949627,10.69446147,10.23332385,9.31195063,9.97164088,9.87270506,9.73927448,8.97149407,8.92266634,9.56446033,9.68630885
13,0.013,0.0215443469,1891.60922124,-3.55733089,0.15527515,4.17015481,12.58012234,11.31290733,10.80329911,10.35616515,9.40665665,10.08386385,9.99384265,9.84274065,9.04604017,8.99201491,9.6762561,9.78811404
