,wave,flux,noise
0,1.1402,0.6950237601345587,0.06688533803583688
1,1.14485,0.6284381748757116,0.06406689245862311
2,1.1495,0.6775602908570054,0.0635024820519258
3,1.15415,0.7735254956283972,0.06326229206415555
4,1.1588,0.7941335524219935,0.06299072590681173
5,1.16345,0.8204473021789167,0.06462625382653847
6,1.1681,1.0,0.06885626638893645
7,1.17275,0.7455526255967475,0.08704759247469968
8,1.1774,0.7688884335264998,0.06222002620130875
9,1.18205,0.6393182363861603,0.05881517083413342
10,1.1867,0.6844496025729188,0.05629029079752772
11,1.19135,0.6605179925591336,0.05482570890513295
12,1.196,0.63446397725846,0.05402904271446562
13,1.20065,0.6648029750886876,0.05405104209772986
14,1.2053,0.7044113993527689,0.05312454348124078
15,1.20995,0.6468644201134022,0.05214142350126832
16,1.2146,0.7060364923519159,0.051357740553183165
17,1.21925,0.6892992328139927,0.051170565472623476
18,1.2239,0.7379008845008562,0.05059569634273496
19,1.22855,0.7607013630447127,0.05002767947976482
20,1.2332,0.6579341974528549,0.04970454099771958
21,1.23785,0.7441692293628016,0.04885413860858714
22,1.2425,0.5852363313175845,0.04818297709621416
23,1.24715,0.5939800489482959,0.04847005101553113
24,1.2518,0.6606965593892156,0.04814799447036774
25,1.25645,0.6409841844039027,0.04839900382695645
26,1.2611,0.7036466380381649,0.04905718209674726
27,1.26575,0.5145292474378411,0.06362077381767449
28,1.2704,0.6846341290719916,0.05277399593152206
29,1.27505,0.7225086661737719,0.04721716810635127
30,1.2797,0.7201873806918447,0.047411195453829325
31,1.28435,0.7070389927066072,0.045762684291520424
32,1.289,0.6870705034258515,0.05616334353672423
33,1.29365,0.7962283679577491,0.05255796920077976
34,1.2983,0.7448513779442097,0.05556719631482604
35,1.30295,0.7103103092928492,0.045290238519780174
36,1.3076,0.6999803167550833,0.04337052184575472
37,1.31225,0.5936784529115052,0.04238956573954596
38,1.3169,0.6489675982999633,0.04242707288478336
39,1.32155,0.6085378761095167,0.04191639867655115
40,1.3262,0.6403128865674825,0.04155250723862298
41,1.33085,0.6568942779504592,0.04595418711960749
42,1.3355,0.6332749250188527,0.04259260922770608
43,1.34015,0.5177315883839915,0.04028916560625192
44,1.3448,0.505576385998184,0.0399407819302969
45,1.34945,0.5103606477767306,0.04059896020008769
46,1.3541,0.4792026576276332,0.03971321453948155
47,1.35875,0.49365088061562085,0.04203432979667257
48,1.3634,0.45423387226403034,0.04152762269034047
49,1.36805,0.45602647578026373,0.03962485636079731
50,1.3727,0.4600383150491459,0.039124640875756296
51,1.37735,0.459184045456952,0.03921011388942228
52,1.382,0.4423602645085244,0.03921119582630413
53,1.38665,0.4072444561990555,0.038719635836317906
54,1.3913,0.4162030558712884,0.03846934777098376
55,1.39595,0.4008586779079544,0.045323057271862886
56,1.4006,0.432353636577612,0.04250569363153097
57,1.40525,0.44219797614012096,0.038221584225040586
58,1.4099,0.4291677731695265,0.04025995331044202
59,1.41455,0.38475862076884804,0.03886858248038563
60,1.4192,0.365813652794461,0.03682336112806583
61,1.42385,0.3568610917726114,0.03671300356611734
62,1.4285,0.3947266697157187,0.03693696450065986
63,1.43315,0.3962826067519604,0.03685040955011202
64,1.4378,0.36708600804299474,0.03641547092360917
65,1.44245,0.34336516474347795,0.036102069873500564
66,1.4471,0.3381445156249437,0.03592171099529652
67,1.45175,0.3318941146861837,0.03562053583195279
68,1.4564,0.3644094631762284,0.03563885662981875
69,1.46105,0.4181931406381723,0.0357921670859766
70,1.4657,0.4083084314860823,0.03566907873338503
71,1.47035,0.4012115382780808,0.0357563189106247
72,1.475,0.4119991417903543,0.03584922122421271
73,1.47965,0.41224162476302284,0.03584579509075352
74,1.4843,0.4169347091960167,0.03581575331000088
75,1.48895,0.40913890567978795,0.03532430151370284
76,1.4936,0.3941664846331906,0.03497339331835684
77,1.49825,0.41538858785181276,0.03516659118089214
78,1.5029,0.44808131232007836,0.03629465463846949
