#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023        -7.02640107123e-20          3.8912554628e-19
    0.9047         4.22890443454e-20         3.92493309934e-19
    0.9071        -1.90323564102e-19         3.75349329662e-19
    0.9095        -9.35072057278e-21         3.72499040427e-19
    0.9119        -4.31831221622e-19         3.77817885817e-19
    0.9143        -5.43662141737e-19         3.53263540325e-19
    0.9167        -7.34698008176e-20         3.54029472785e-19
    0.9191        -1.21656533119e-19          3.4950422851e-19
    0.9215        -5.44068081952e-20         3.51255675801e-19
    0.9239          -2.238282737e-20         3.36855133142e-19
    0.9263        -2.13868051517e-19         3.31752198936e-19
    0.9287        -3.29749092742e-19         3.31077450393e-19
    0.9311        -3.48837488956e-19         3.32150597465e-19
    0.9335        -8.06417519648e-20         3.20971440881e-19
    0.9359         3.88540066083e-19         3.13074510523e-19
    0.9383        -7.57586197416e-20         3.11452814501e-19
    0.9407        -4.54200040594e-19         3.27268775982e-19
    0.9431        -3.01563560533e-19         3.30665005314e-19
    0.9455        -7.01026699178e-19         3.19869757024e-19
    0.9479        -4.72326800888e-19         3.14899415889e-19
    0.9503        -1.01242972662e-19         3.25985356782e-19
    0.9527        -9.97544099378e-20         3.30567505647e-19
    0.9551        -8.61327183378e-20         2.89940086791e-19
    0.9575        -1.86325044756e-19         2.81066288902e-19
    0.9599        -1.95098919039e-19          2.7958398259e-19
    0.9623        -3.06090887271e-20         2.74667839359e-19
    0.9647         1.47448332862e-20         2.72754541291e-19
    0.9671         -9.0184510745e-20          2.7392926396e-19
    0.9695         1.67361500455e-19         2.81566096702e-19
    0.9719         2.30550321839e-19          2.6873412318e-19
    0.9743         -1.9542135248e-20         2.64145171904e-19
    0.9767         -6.5608783352e-20         2.62323055376e-19
    0.9791        -4.52791518095e-19         2.64716881073e-19
    0.9815         3.47067174486e-19         2.71464633105e-19
    0.9839         8.74015223461e-20         2.65443769484e-19
    0.9863         5.20578084365e-19         2.81774461984e-19
    0.9887         1.24839278597e-19         2.59668286948e-19
    0.9911        -2.28856368894e-20         2.91600163955e-19
    0.9935         1.00899201442e-19         2.58210883284e-19
    0.9959         1.08857219108e-20         2.54898566111e-19
    0.9983         -1.6141328811e-19         2.51073986759e-19
    1.0007         2.38476431978e-19         2.90719655347e-19
    1.0031         2.18783344696e-19         2.60271661189e-19
    1.0055         9.41182572524e-19         2.43652211837e-19
    1.0079        -3.18764374379e-20          2.4226208697e-19
