#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         4.02684932914e-19         2.56934771638e-19
    0.9047         3.11547182619e-20         2.52313935868e-19
    0.9071         5.24114855378e-19         2.48844404287e-19
    0.9095         3.42680694561e-20         2.46360791935e-19
    0.9119         4.22198512909e-19         2.33731830025e-19
    0.9143         3.53076015886e-20         2.32729178679e-19
    0.9167         2.42895864232e-19         2.37891267666e-19
    0.9191         3.48568632082e-19         2.37592531881e-19
    0.9215        -3.46483209083e-20         2.27855184702e-19
    0.9239         8.97970071816e-20         2.27272055115e-19
    0.9263         3.12677378457e-19         2.25582611511e-19
    0.9287         1.40141085381e-19         2.27840244397e-19
    0.9311        -1.46900140714e-19         2.26027752192e-19
    0.9335         3.01538761994e-19         2.31255065467e-19
    0.9359          5.1830759607e-19         2.13523354348e-19
    0.9383         1.88184892541e-19         2.07709831921e-19
    0.9407         2.46424785255e-19         2.02866779035e-19
    0.9431         1.37569644427e-19         2.06673107626e-19
    0.9455         2.25585562986e-19         1.97453164513e-19
    0.9479         9.11121628973e-20         1.91072639737e-19
    0.9503         2.19023321252e-19         1.99346074447e-19
    0.9527         4.73882543707e-20         1.90586636434e-19
    0.9551        -9.94354537914e-20         1.86507871282e-19
    0.9575        -2.43198357125e-19         1.87266061888e-19
    0.9599         1.41477638952e-19         2.00023364203e-19
    0.9623         2.39737245867e-19         1.97656470301e-19
    0.9647         9.14647788349e-20         1.86598971912e-19
    0.9671         8.17933185814e-20         1.76593969225e-19
    0.9695         1.73097170179e-20         1.76529401866e-19
    0.9719        -3.24921007382e-20         1.82343658295e-19
    0.9743         1.09367088446e-20         1.77995465744e-19
    0.9767         1.70255856976e-19         1.76894145248e-19
    0.9791          9.8554179886e-20          1.7367494973e-19
    0.9815         1.77506690381e-19         1.68689697831e-19
    0.9839         2.33619645306e-19         1.72682157419e-19
    0.9863         3.54404325039e-20         1.77172824004e-19
    0.9887        -6.58368038779e-20         1.66428235283e-19
    0.9911        -1.34505394804e-19         1.68662060388e-19
    0.9935         9.55816342924e-20          1.7631858429e-19
    0.9959         2.06900445978e-19         1.77590189836e-19
    0.9983         2.78672475884e-19         1.67359916526e-19
    1.0007         7.36924860999e-20         1.62247932776e-19
    1.0031         2.18161513258e-20         1.73549316915e-19
    1.0055         6.83983124134e-20         1.63346768184e-19
    1.0079        -2.14300910406e-20         1.59960443536e-19
    1.0103         1.00377002365e-19         1.56850237554e-19
    1.0127         9.51731124162e-20         1.72769613401e-19
    1.0151         9.05590810975e-20         1.66377230576e-19
    1.0175         2.88031575085e-19         1.64223483227e-19
    1.0199         1.13920483713e-19         1.57041040194e-19
    1.0223         1.80667322437e-19         1.65192708245e-19
    1.0247         2.46478621954e-19         1.59831921185e-19
    1.0271         4.67040623405e-19         1.56597211391e-19
    1.0295         4.75008840761e-19         1.58739023125e-19
    1.0319           1.956279733e-19         1.60045821001e-19
    1.0343         2.40472972199e-19         1.51654664808e-19
    1.0367         4.13849724641e-19         1.49327173934e-19
    1.0391         4.47977909765e-19         1.53835057994e-19
    1.0415         5.62301969458e-19         1.55833186478e-19
    1.0439         4.33278415534e-19         1.52774967483e-19
    1.0463         5.94194822704e-19         1.46413513761e-19
    1.0487         7.08620580721e-19         1.47436474074e-19
    1.0511         7.17221401189e-19         1.48133900957e-19
    1.0535         7.71837806067e-19         1.46197763651e-19
    1.0559         6.46297880438e-19         1.45524710197e-19
    1.0583         6.43312187972e-19         1.46214761913e-19
    1.0607         6.45118789562e-19         1.45743717374e-19
    1.0631          8.3159254454e-19         1.45196218202e-19
    1.0655         1.04812826592e-18         1.43877432542e-19
    1.0679         7.47473264374e-19         1.43440857164e-19
    1.0703         6.71435235409e-19         1.41606383589e-19
