#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         7.24484631906e-19         6.58887620198e-19
    0.9047           5.461028628e-19         6.65345583256e-19
    0.9071         5.63091062672e-19         6.38673184576e-19
    0.9095         6.19542280874e-19         6.21124174236e-19
    0.9119         1.03787960776e-19         6.40266295422e-19
    0.9143         2.56950005184e-19         6.43585919656e-19
    0.9167         2.30268778229e-19          6.0672757557e-19
    0.9191         4.55151564861e-19         5.93245467209e-19
    0.9215           8.338061299e-19         5.80592454251e-19
    0.9239        -2.38805110954e-19         5.64383875233e-19
    0.9263         5.74757562806e-19         5.53791396951e-19
    0.9287         4.95491753311e-19         5.53876295114e-19
    0.9311         6.41402957116e-19          5.4336753696e-19
    0.9335        -4.82246498753e-19         5.29402374491e-19
    0.9359        -8.48472787473e-19         5.16654651428e-19
    0.9383        -9.92372646867e-20         5.13224518291e-19
    0.9407         7.03416167451e-19         5.29922530326e-19
    0.9431         9.01141385741e-19         5.04921370865e-19
    0.9455         1.13595061567e-18          5.0183802276e-19
    0.9479         1.23155643779e-18         4.92470649369e-19
    0.9503         8.98798521172e-20          4.8197127406e-19
    0.9527         4.03229568492e-19         4.79438531345e-19
    0.9551         3.34504673382e-19         4.86677798707e-19
    0.9575         6.11382555926e-19         4.70998604726e-19
    0.9599         6.22837937834e-19         4.64993616219e-19
    0.9623         3.68412806714e-19         4.59789146356e-19
    0.9647         4.65385126007e-19         4.57995492624e-19
    0.9671         3.72298752356e-20         4.55213246585e-19
    0.9695         1.08856345101e-18         4.55475793193e-19
    0.9719         5.72030540219e-19         4.47371405278e-19
    0.9743          2.9071577099e-19          4.4226266417e-19
    0.9767         4.69878561816e-19         4.39151178661e-19
    0.9791         6.91990743141e-19         4.38283510728e-19
    0.9815         5.30745983771e-19         4.35977207704e-19
    0.9839         1.19823415405e-18          4.3584892315e-19
    0.9863         8.18442261431e-19          4.4418931796e-19
    0.9887         9.27331859995e-19          4.3887446452e-19
    0.9911          1.0516178271e-18          4.3815083406e-19
    0.9935         1.55712542036e-18         4.42202258641e-19
    0.9959         1.70883470632e-18          4.4129676363e-19
    0.9983         1.52766635992e-18         4.72790200316e-19
    1.0007         1.72379786659e-18         4.31735362733e-19
    1.0031         2.22225373488e-18         4.27549997537e-19
    1.0055         2.34646441005e-18         4.20572281806e-19
    1.0079         2.48838489059e-18         4.51194441356e-19
    1.0103         2.68235359254e-18          4.3226184095e-19
    1.0127         2.34138684415e-18         4.37591024575e-19
    1.0151         2.17188933736e-18          4.4400010513e-19
    1.0175         2.21313748244e-18         4.33714953521e-19
    1.0199         2.74844245755e-18         4.24557192309e-19
    1.0223          2.8555956051e-18         4.27117208756e-19
    1.0247         3.29730997706e-18         4.34024571305e-19
    1.0271         4.38171384822e-18         4.26081098952e-19
    1.0295         4.42542816294e-18         4.10224963897e-19
    1.0319         4.01886329167e-18         4.03015020997e-19
    1.0343         3.95082643814e-18         3.99881968166e-19
    1.0367         4.47513979261e-18         4.02885250311e-19
    1.0391         4.73716230677e-18         4.03675113544e-19
    1.0415         5.31752923872e-18         4.03730284296e-19
    1.0439         4.97030447797e-18         4.01227827222e-19
    1.0463         4.79968433045e-18         3.98109501539e-19
    1.0487         5.18138855763e-18         3.97860597715e-19
    1.0511         5.11738026229e-18         3.96896550614e-19
    1.0535         5.17672437469e-18         3.98557870495e-19
    1.0559         6.42558231692e-18         4.02928253358e-19
    1.0583         5.66374064727e-18          4.0004967871e-19
    1.0607         5.80136856953e-18         3.99402763631e-19
    1.0631         5.64873907024e-18         3.97511130671e-19
    1.0655         5.46834460844e-18         3.92036417395e-19
    1.0679         5.56152231939e-18         4.06950121159e-19
    1.0703         6.15698096678e-18         3.98924626929e-19
    1.0727         5.61179698056e-18         3.96205478007e-19
    1.0751         5.58936566734e-18         3.84671211162e-19
    1.0775         5.81176669424e-18         3.98357270626e-19
    1.0799         5.29089454916e-18         3.90598947059e-19
    1.0823         5.21208038213e-18         3.94119927389e-19
    1.0847          4.9594969425e-18         3.80867431799e-19
    1.0871         4.23535890663e-18         3.71038746306e-19
    1.0895         3.19145222845e-18         3.61669965739e-19
    1.0919          2.6689120202e-18          3.5899304235e-19
    1.0943         1.18285940223e-18         3.57815212553e-19
    1.0967         7.27346457245e-19         3.56802636635e-19
    1.0991         1.05907682195e-18          3.5236250532e-19
     1.103         5.31433736522e-19         4.37504629494e-19
   1.10765         5.03914194309e-19         4.04199887566e-19
    1.1123         8.03377933683e-19         3.55123168309e-19
   1.11695         2.14196333033e-19         3.45473845958e-19
    1.1216        -7.18192059578e-20         3.15626815271e-19
   1.12625        -1.19258127719e-19         3.11125519824e-19
    1.1309        -1.77974682363e-20         3.09237833251e-19
   1.13555        -8.93005158571e-20         3.08341697684e-19
    1.1402        -1.36264643206e-20         2.95432955266e-19
   1.14485         2.42345285052e-20         2.86530885525e-19
    1.1495        -2.00680306244e-19         2.89742905593e-19
   1.15415        -1.72081408277e-19          2.8827053612e-19
    1.1588         1.19204877107e-19         2.92412537444e-19
   1.16345         7.39511339072e-20         2.83630562394e-19
    1.1681          4.6417908398e-20         2.70525837638e-19
   1.17275         3.49218524888e-20          2.6889735665e-19
    1.1774         4.06675062724e-19         2.63606769212e-19
   1.18205         4.18452237103e-19         2.55194832228e-19
    1.1867         7.85170294937e-20         2.54765010253e-19
   1.19135         4.10905943819e-19         2.48366583919e-19
     1.196         6.42498943328e-19         2.47133317572e-19
