#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
   1.65635         1.74069304178e-19         2.24727254883e-19
     1.661         1.69761040759e-19         2.40927226903e-19
   1.66565         -4.1974053538e-20         2.65290926871e-19
    1.6703         2.77221921942e-19         3.10440381118e-19
   1.67495         2.70210359533e-19         3.70757809997e-19
    1.6796         3.43560370009e-19         4.60321603041e-19
   1.68425         1.30602704973e-19         6.02364470938e-19
    1.6889         7.39187798792e-19         7.89822392717e-19
   1.69355        -2.78438300535e-19         1.02562181317e-18
    1.6982        -2.19924107584e-19         1.22474934067e-18
