#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         1.90955123155e-18         9.53561143822e-19
    0.9047         1.66694613332e-19         9.54535936891e-19
    0.9071         1.03301485688e-18          9.4460395184e-19
    0.9095         1.51049149643e-19         9.26657592394e-19
    0.9119          7.1413302045e-19         9.10832746549e-19
    0.9143         5.82063693774e-19         8.93790133417e-19
    0.9167         1.10426264748e-19         8.88852469448e-19
    0.9191         5.12280488038e-20         8.91387246961e-19
    0.9215         1.28303601213e-18         8.73410518442e-19
    0.9239         3.83321634007e-19         8.76474871294e-19
    0.9263            1.22567562e-18         9.09371326037e-19
    0.9287         9.16168004302e-19         8.92663771064e-19
    0.9311        -8.47819747206e-20         8.57946133689e-19
    0.9335         4.16605736406e-19         8.35276105763e-19
    0.9359         1.13756561843e-18         8.04962011859e-19
    0.9383         5.32591493427e-19          8.1891031295e-19
    0.9407         1.13680779366e-18         7.86890045449e-19
    0.9431         1.18969871694e-18          7.8753878683e-19
    0.9455         -9.7268149566e-20          7.5670416143e-19
    0.9479        -3.77424118653e-19         7.78250128233e-19
    0.9503         1.55589696184e-18         7.45231053041e-19
    0.9527         2.04515366941e-19         7.50720462109e-19
    0.9551        -1.19974997855e-19         7.27130644555e-19
    0.9575         7.94338823363e-20         7.14901479841e-19
    0.9599         6.73619046167e-19         7.22647760882e-19
    0.9623         6.71261306148e-19         7.08342225036e-19
    0.9647         1.50492354923e-18         7.06173505162e-19
    0.9671         2.32787809595e-18         7.07939663817e-19
    0.9695          1.3661967138e-18         6.93090571517e-19
    0.9719         6.11836002744e-19         6.83850658602e-19
    0.9743         1.30393846416e-19         6.83563389282e-19
    0.9767         2.01131720869e-18          6.7690966626e-19
    0.9791         1.31421591834e-18         6.68954760631e-19
    0.9815          1.2235476592e-18         6.60134800334e-19
    0.9839          2.3996619754e-18         6.57740214723e-19
    0.9863         1.07112668246e-18         6.50957547848e-19
    0.9887         1.77807575931e-18         6.50455154467e-19
    0.9911         3.87551242035e-18         6.49500791526e-19
    0.9935         1.74541004169e-18         6.42948430093e-19
    0.9959         2.08330195428e-18         6.40987481204e-19
    0.9983         6.41169651462e-19         6.34527611188e-19
    1.0007         1.25353739742e-18         6.24890769105e-19
    1.0031         2.22954237964e-18         6.20453705233e-19
    1.0055         1.53321995034e-18         6.15392249535e-19
    1.0079         3.08170061634e-18         6.24437703392e-19
    1.0103          2.4458735823e-18         6.22147519054e-19
    1.0127         1.30373018403e-18         6.19885422665e-19
    1.0151          2.4100595494e-18         6.11001378136e-19
    1.0175         2.53824653877e-18         6.08461373785e-19
    1.0199         3.62317235951e-18         6.08951863734e-19
    1.0223         3.80618383446e-18         6.04503169497e-19
    1.0247         3.65982666062e-18         5.97818738247e-19
    1.0271         4.44145436164e-18         5.91522609737e-19
    1.0295         4.08063360723e-18         5.85748952524e-19
    1.0319         3.20940408234e-18         5.78295151961e-19
    1.0343         4.30147124397e-18         5.76924758947e-19
    1.0367         4.47496564274e-18         5.77986007678e-19
    1.0391         4.32635425399e-18          5.8044760393e-19
    1.0415         4.23858603335e-18         5.74592546884e-19
