#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         6.32609834525e-19          9.2462324254e-19
    0.9047         8.03309020996e-19         9.04067652427e-19
    0.9071         2.85631654161e-20         8.81925736606e-19
    0.9095         1.48546789337e-19         8.70279288991e-19
    0.9119         3.23033576455e-19         8.88746706837e-19
    0.9143         1.76239669471e-18         8.37269798719e-19
    0.9167         1.48533054874e-18         8.19570851563e-19
    0.9191         1.01231746046e-18         8.05258973978e-19
    0.9215         5.45970168498e-19         7.85690969445e-19
    0.9239         7.60483002418e-19         7.78112048121e-19
    0.9263         1.08156835896e-18         7.65840544783e-19
    0.9287         3.36976833265e-19         7.56063290853e-19
    0.9311         1.89142847976e-19         7.67170294084e-19
    0.9335         -3.7604086491e-19         7.83106667841e-19
    0.9359         4.62330118566e-19         7.67901161926e-19
    0.9383         1.06835498165e-18         7.47947514238e-19
    0.9407         8.03952832991e-19         7.22045617819e-19
    0.9431          1.0587717392e-18         7.59181792076e-19
    0.9455         1.19578846036e-18         7.64545644652e-19
    0.9479         3.19965146205e-19         7.51579299467e-19
    0.9503         5.44687279994e-19          7.0379070256e-19
    0.9527        -2.31586668957e-19         6.82096724535e-19
    0.9551         1.16663028277e-18         6.73028446078e-19
    0.9575         3.56322277305e-19         6.66655046967e-19
    0.9599         1.51153811496e-19           6.611937863e-19
    0.9623         6.51463611112e-19         6.50797580019e-19
    0.9647         8.36890321981e-19          6.4592432956e-19
    0.9671         1.39093013983e-18         6.43321312407e-19
    0.9695         2.16382978861e-18         6.46466980725e-19
    0.9719         9.15637645254e-19         6.44253210836e-19
    0.9743         9.54394903987e-19         6.37769572326e-19
    0.9767         1.95069197762e-18         6.39253055674e-19
    0.9791         9.79625187584e-19         6.40832999275e-19
    0.9815         2.00774732918e-18         6.48157092994e-19
    0.9839           1.547997407e-18         6.24264231667e-19
    0.9863         2.38620730497e-18         6.33846093939e-19
    0.9887         2.78269845396e-18         6.53172853373e-19
    0.9911         1.57391747291e-18         6.39221298491e-19
    0.9935          1.5218100459e-18         6.20838707495e-19
    0.9959         2.41291345123e-18         6.29466240547e-19
    0.9983         2.73097045724e-18         6.23198636817e-19
    1.0007         2.73338567898e-18         6.00782325541e-19
    1.0031         3.44103559785e-18         5.92501510689e-19
    1.0055         2.93611798098e-18         5.95601385682e-19
    1.0079         3.70989289294e-18         5.82412827369e-19
    1.0103         3.97971959676e-18         5.82996661582e-19
    1.0127         3.18237502574e-18          5.7868112459e-19
    1.0151         4.09069574485e-18         5.80287666857e-19
    1.0175          4.6950737656e-18         5.74138220037e-19
    1.0199         4.37026994147e-18         5.69929295196e-19
