#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023          1.5846112966e-19         2.57673364079e-19
    0.9047          2.4534753009e-19         2.57291087645e-19
    0.9071         1.48155709754e-19         2.54100058896e-19
    0.9095         1.27911160812e-19         2.50088486222e-19
    0.9119        -2.20601772972e-21          2.4333001586e-19
    0.9143         1.60631922847e-19         2.41261849533e-19
    0.9167        -1.54690979983e-19         2.45216873394e-19
    0.9191         1.70161553494e-19         2.45078019067e-19
    0.9215        -3.27340665394e-20         2.34734092742e-19
    0.9239         1.52388077281e-19         2.26440558209e-19
    0.9263         6.70443135995e-20          2.3127674747e-19
    0.9287        -1.04316466486e-19          2.3608021408e-19
    0.9311        -5.60838178321e-20         2.32280680633e-19
    0.9335        -3.31312986447e-20         2.30037381079e-19
    0.9359        -4.84973035461e-20         2.14185768035e-19
    0.9383        -9.20464831718e-20         2.17993694102e-19
    0.9407        -5.84360095511e-20         2.13146692922e-19
    0.9431        -1.40197277841e-19         2.27709336883e-19
    0.9455        -8.57146725691e-20         2.07752621256e-19
    0.9479        -8.90895513919e-21         2.02203616088e-19
    0.9503        -1.68767934258e-19         2.04980456141e-19
    0.9527        -7.39257788104e-20         2.05805722767e-19
    0.9551        -6.74449124474e-20         2.04728757288e-19
    0.9575         4.97444426973e-20         1.94676306551e-19
    0.9599         5.98467685619e-20         1.96199566624e-19
    0.9623         7.41648155377e-20         1.96918119439e-19
    0.9647         5.87254218277e-20         1.99505385171e-19
    0.9671          1.4372714607e-19         1.90118318764e-19
    0.9695         1.55420582157e-19         1.88661799172e-19
    0.9719         2.09292889141e-19         1.93950528145e-19
    0.9743        -1.33424621982e-20          1.8603954129e-19
    0.9767         2.48646416159e-20         1.81293866539e-19
    0.9791        -2.21243572661e-20         1.81589762146e-19
    0.9815        -9.14995930389e-20         1.88591910872e-19
    0.9839        -1.09976869723e-20          1.7785792026e-19
    0.9863         1.02858417953e-19         1.75987652775e-19
    0.9887        -6.10616653193e-20         1.74818915419e-19
    0.9911         1.59204566144e-19         1.78079933252e-19
    0.9935         2.70321243257e-19         1.74389231202e-19
    0.9959         1.54311642095e-19          1.7294583081e-19
    0.9983         9.61542147409e-20         1.70930001389e-19
    1.0007         9.63018390407e-20         1.70630352178e-19
    1.0031         2.92042088819e-19         1.67795912082e-19
    1.0055         1.75275202166e-19         1.65494777159e-19
    1.0079         1.42495281276e-19         1.65751899963e-19
    1.0103         2.54422274644e-19         1.64939019654e-19
    1.0127         2.30093022222e-19         1.64875431422e-19
    1.0151         2.87652368177e-19         1.62772148176e-19
    1.0175         3.29092798293e-19         1.61498908586e-19
    1.0199         3.61852656679e-19         1.61379656657e-19
    1.0223         3.26835147682e-19         1.60670656429e-19
    1.0247         5.13474520645e-19         1.59418754012e-19
    1.0271         5.40634561434e-19         1.58625151463e-19
    1.0295         5.31733132065e-19         1.56965678628e-19
    1.0319         4.34672856072e-19         1.54461505183e-19
    1.0343          6.0064972834e-19         1.54220557969e-19
    1.0367         7.40418148548e-19         1.57163592891e-19
    1.0391         7.11841592853e-19         1.57728377693e-19
    1.0415         7.14579692015e-19         1.54132435551e-19
    1.0439         8.45262981831e-19         1.54192988344e-19
    1.0463         7.87600502306e-19         1.54726605601e-19
    1.0487         8.18638692108e-19         1.58532652861e-19
    1.0511         9.26811579924e-19         1.53465888888e-19
    1.0535         9.42069930483e-19         1.55335679129e-19
    1.0559         9.02080924812e-19         1.60078825235e-19
    1.0583         9.93266173385e-19         1.57540352325e-19
    1.0607         1.17884090113e-18          1.5831511192e-19
    1.0631         1.06202634686e-18         1.54959853521e-19
    1.0655         9.73535718449e-19         1.58108565757e-19
    1.0679         1.01945922845e-18         1.57514816537e-19
    1.0703         9.54458191076e-19         1.55210958019e-19
    1.0727         8.03729086362e-19          1.5121772895e-19
    1.0751         7.56216329663e-19         1.51270099732e-19
    1.0775         7.61412700703e-19         1.54604540106e-19
    1.0799         8.19930489038e-19         1.48074160474e-19
    1.0823         6.50367527725e-19         1.51301758849e-19
    1.0847         4.53975307145e-19         1.48935784556e-19
    1.0871         3.67519890646e-19         1.48925310567e-19
    1.0895         3.07687190452e-19         1.45254821118e-19
    1.0919         1.22305839045e-19         1.49301638831e-19
    1.0943         5.09514282233e-20         1.47466195363e-19
    1.0967         1.30883331031e-19         1.48437575724e-19
    1.0991           1.722355688e-19         1.50538074241e-19
     1.103         4.66383113578e-19         1.55287458208e-19
   1.10765          4.6754816372e-19         1.46727052746e-19
    1.1123          2.6168213875e-19         1.28482351759e-19
   1.11695         1.06658363764e-19         1.18480425998e-19
    1.1216         9.18151228494e-20         1.12374627757e-19
   1.12625         2.90418334091e-20           1.118252182e-19
    1.1309         7.86266334032e-20         1.07823474266e-19
   1.13555        -2.43133975535e-19         1.04620777736e-19
    1.1402        -3.84592497307e-20         1.01740202729e-19
   1.14485        -1.07464502279e-19         1.00274840832e-19
    1.1495        -1.65128557002e-19         9.99796478318e-20
   1.15415         5.78589096113e-21         9.92898639227e-20
    1.1588         4.65422764561e-20         9.84113095244e-20
   1.16345         2.55161571316e-20         9.79472949335e-20
    1.1681         2.02886158292e-20          9.6912557488e-20
   1.17275         4.82755451785e-20         9.76414823177e-20
    1.1774         1.75242663282e-19         9.11195003287e-20
   1.18205         3.19298019165e-20         9.11022193992e-20
    1.1867        -8.69886874234e-20         8.89636922365e-20
   1.19135        -1.06647829186e-19         9.34608414749e-20
     1.196         1.16636100088e-19         8.85445892848e-20
   1.20065         1.31773975208e-19         8.83605658655e-20
    1.2053         6.03000599406e-20         8.92118451045e-20
   1.20995         2.10904810421e-19         8.50326945721e-20
    1.2146          4.9169473473e-20         8.95136823644e-20
   1.21925         1.66188616899e-19         8.41688976685e-20
    1.2239         2.49148662527e-19         8.92502286384e-20
   1.22855          2.5018394719e-19         8.20297009203e-20
    1.2332         1.90850678516e-19         8.39176492342e-20
   1.23785         2.35958698433e-19         8.39939072397e-20
    1.2425         4.03399299829e-19         8.12751914093e-20
   1.24715         5.41620443291e-19         9.10581496991e-20
    1.2518         6.25546394002e-19         7.80724061771e-20
   1.25645         7.65710447115e-19         8.20458691516e-20
    1.2611           9.308524834e-19         8.17904879799e-20
   1.26575          9.7940884585e-19         8.55278899821e-20
    1.2704         1.07668029293e-18         7.78712112735e-20
   1.27505         8.42827128346e-19         7.49766737884e-20
    1.2797         6.91702795652e-19         7.68735942175e-20
   1.28435         4.72949841425e-19         7.22968810473e-20
     1.289         4.45079674205e-19         7.18598276606e-20
   1.29365         2.81425406238e-19         7.12622756181e-20
    1.2983         3.13359461059e-19         7.00676172242e-20
   1.30295         2.65381489708e-19         6.89195293268e-20
    1.3076         1.78557587824e-19         6.79388732036e-20
   1.31225         6.35423657121e-20         6.73901489645e-20
    1.3169         1.34827826126e-19         6.69847226588e-20
   1.32155         6.65903565329e-20          6.6385901108e-20
    1.3262         1.46439572402e-19         6.59765689878e-20
   1.33085         1.21588233914e-19          6.5313813575e-20
    1.3355         2.53114854699e-20         6.49227463421e-20
   1.34015         5.68617774407e-20         6.44744451166e-20
    1.3448        -3.25799241107e-20         6.46827236414e-20
   1.34945         3.32218272126e-20         6.38747107137e-20
    1.3541         3.41140826756e-22          6.3575913703e-20
   1.35875         3.24608985621e-20         6.27365660121e-20
    1.3634         -3.0494644207e-20         6.33562571714e-20
   1.36805         2.80999650334e-20         6.31908955658e-20
