#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         2.86035186453e-19         3.04493798297e-19
    0.9047         2.93456466456e-19         3.04644284986e-19
    0.9071         1.65107815556e-20         3.03669463884e-19
    0.9095         3.38052231677e-20         2.97252691677e-19
    0.9119         2.93066535384e-19         2.88491319753e-19
    0.9143         1.45529714081e-19         2.84339859409e-19
    0.9167        -3.54376194287e-20         2.78160214235e-19
    0.9191         1.00896420832e-19         2.75453109191e-19
    0.9215         3.67895205689e-19         2.75592721136e-19
    0.9239          1.3626081193e-19         2.71815858299e-19
    0.9263        -7.35314820582e-20         2.73479859249e-19
    0.9287        -3.39028225552e-20         2.71398717088e-19
    0.9311        -1.18934785183e-19         2.67118035998e-19
    0.9335        -9.35766786648e-20         2.59519916196e-19
    0.9359        -9.35872865413e-20         2.60794003509e-19
    0.9383         -3.8291334786e-20         2.53367683635e-19
    0.9407         1.52798080249e-20         2.57608665523e-19
    0.9431         1.97334314866e-20         2.51355160994e-19
    0.9455        -1.22414926358e-20         2.47984508492e-19
    0.9479         -5.5278522271e-20         2.59767841194e-19
    0.9503          1.1101588659e-19         2.44328419061e-19
    0.9527        -2.65045665172e-20         2.42312809782e-19
    0.9551         3.15041022034e-20          2.3863988694e-19
    0.9575         1.15995306679e-19         2.46200986807e-19
    0.9599         1.82160738091e-19         2.43632740319e-19
    0.9623        -8.34878586184e-20         2.39281262144e-19
    0.9647        -5.31652102498e-20         2.33713170522e-19
    0.9671         1.03437234292e-19          2.4940075613e-19
    0.9695         6.83621901986e-20         2.38768883147e-19
    0.9719         1.80351757906e-19         2.30723778264e-19
    0.9743         2.23375729018e-21         2.23026473039e-19
    0.9767        -1.64820284258e-19         2.39433141923e-19
    0.9791         2.22997286795e-19         2.28005870647e-19
    0.9815         1.20871786961e-19         2.16975383098e-19
    0.9839         1.35874393935e-19         2.13784105761e-19
    0.9863         9.68196022745e-20         2.12866514628e-19
    0.9887         1.84126456665e-19         2.11310689523e-19
    0.9911         1.54691854239e-19         2.07870638153e-19
    0.9935         8.18352326259e-20         2.06501804286e-19
    0.9959         2.86133309013e-20         2.04710421248e-19
    0.9983         6.85630818555e-20         2.03997455461e-19
    1.0007          2.0432394156e-19         2.00594481548e-19
