#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         6.27287431237e-20         9.36281692137e-19
    0.9047         2.01850760267e-18         9.71426042715e-19
    0.9071         3.17704964024e-18           9.550467075e-19
    0.9095         2.15755478016e-18         9.25334518765e-19
    0.9119         1.55747997649e-18          9.0763151541e-19
    0.9143         8.11482546518e-19         8.88211244234e-19
    0.9167         1.24613906017e-18         8.60133991486e-19
    0.9191         1.44283970901e-18         8.37428778336e-19
    0.9215         1.27798337808e-18         8.36781278173e-19
    0.9239         1.22994097702e-18         7.99464966899e-19
    0.9263         1.29015321126e-18         8.17493105432e-19
    0.9287         7.49038066634e-19         8.16569129223e-19
    0.9311         -1.0646532719e-18         8.51585976207e-19
    0.9335         4.66234310852e-19         7.68164900362e-19
    0.9359         5.60988712955e-19         7.59289689957e-19
    0.9383         5.92164686663e-19         7.57804729626e-19
    0.9407         5.31577979557e-19         8.28491702514e-19
    0.9431          4.0251904189e-19         7.74297428202e-19
    0.9455          6.7684122436e-19         7.40542675762e-19
    0.9479         2.04405050928e-19         7.37644881117e-19
    0.9503         1.17597491114e-19         7.37714443736e-19
    0.9527         -9.6839266986e-20         7.32392452555e-19
    0.9551         1.21749816696e-18         7.03538565814e-19
    0.9575         1.07627253437e-18         7.30164660971e-19
    0.9599         1.09599986074e-18         7.30498025043e-19
    0.9623         1.45218208323e-18          6.8118736691e-19
    0.9647         1.97836289033e-18         6.75349474292e-19
    0.9671         3.04148723977e-19         6.75262384758e-19
    0.9695          1.0268497975e-18         6.65635637519e-19
    0.9719         2.05367822544e-18         6.59570876653e-19
    0.9743         1.65369425472e-18         6.55768617656e-19
    0.9767         1.40679976856e-18         6.46835310727e-19
    0.9791         1.72400192068e-18         6.40741077766e-19
    0.9815         1.02314570881e-18         6.34758979667e-19
    0.9839          1.9287862184e-18          6.4103130573e-19
    0.9863          2.3443051329e-18         6.32667145455e-19
    0.9887          3.0639243082e-18         6.34373977581e-19
    0.9911         2.83005863554e-18         6.36956113441e-19
    0.9935         4.31735046136e-18         6.31782411088e-19
    0.9959         2.96772337015e-18         6.33483956907e-19
    0.9983         3.59590859873e-18         6.33568216396e-19
    1.0007         3.32376774998e-18         6.07616491942e-19
