#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         5.90952236884e-19         2.07058905488e-19
    0.9047         4.88311905829e-19         2.00421530686e-19
    0.9071         8.40918061404e-19         2.04298546906e-19
    0.9095         5.97674706474e-19         2.04067257918e-19
    0.9119         5.14946406727e-19         1.87946041169e-19
    0.9143         3.90996838214e-19         1.86173329324e-19
    0.9167         6.27530782906e-19         1.83098923495e-19
    0.9191         6.42431684521e-19         1.83805386116e-19
    0.9215          5.8210722943e-19         1.77539963819e-19
    0.9239         6.53743718443e-19         1.73750656973e-19
    0.9263         3.54629988903e-19         1.77564349349e-19
    0.9287         2.51500373815e-19         1.70466889816e-19
    0.9311         5.06446248109e-20         1.67362417665e-19
    0.9335        -1.70426672341e-20         1.68178987184e-19
    0.9359         2.77854727269e-19         1.69294653298e-19
    0.9383         2.92201370279e-19         1.67983605831e-19
    0.9407         1.27703923222e-19         1.65374783547e-19
    0.9431        -1.84917847501e-19         1.62596836609e-19
    0.9455         7.66466865946e-20         1.57480886567e-19
    0.9479          2.4063556718e-19         1.56005836264e-19
    0.9503         2.71064020708e-19         1.52598413709e-19
    0.9527         1.68093780902e-19         1.52432670964e-19
    0.9551         3.27560467472e-19         1.51998021392e-19
    0.9575         7.64080236947e-20         1.55606664221e-19
    0.9599         1.10225761227e-20         1.52069657755e-19
    0.9623         1.09031315109e-19         1.45546937727e-19
    0.9647        -8.33990600621e-21         1.44688725958e-19
    0.9671         3.40210461034e-19         1.59072894269e-19
    0.9695         4.07986226122e-19          1.5454962455e-19
    0.9719          3.8235638988e-19         1.47581937695e-19
    0.9743         4.26161462573e-19         1.40122849707e-19
    0.9767         6.51448525674e-19         1.49922274361e-19
    0.9791         3.01182061674e-19         1.45297297881e-19
    0.9815         5.50503453055e-19         1.45432209716e-19
    0.9839         4.77138654928e-19         1.39670351669e-19
    0.9863         8.36738848102e-19         1.42956868963e-19
    0.9887         9.17732434862e-19         1.38800301183e-19
    0.9911         9.07432506433e-19         1.38935438744e-19
    0.9935         9.04175145959e-19         1.51108024047e-19
    0.9959         1.29739303154e-18         1.39440066658e-19
    0.9983         1.46922192499e-18         1.33504495191e-19
    1.0007         1.67830500885e-18         1.34262864694e-19
    1.0031         1.85349713219e-18         1.44648473532e-19
    1.0055         1.65045227603e-18         1.39046578545e-19
    1.0079          2.0345041187e-18         1.30337228977e-19
    1.0103         2.16129669977e-18         1.31456033277e-19
    1.0127         2.26441622338e-18         1.35747893648e-19
    1.0151         2.22265527536e-18         1.34070372071e-19
    1.0175         2.15465749277e-18         1.29584393581e-19
    1.0199          2.2557731693e-18         1.29600399321e-19
    1.0223         2.79094113262e-18         1.29882392337e-19
    1.0247         2.85980638799e-18         1.30531885099e-19
    1.0271          2.9120068245e-18         1.28794099199e-19
    1.0295         3.31843268062e-18         1.29269541217e-19
    1.0319         2.98549733234e-18         1.25964194388e-19
    1.0343         3.00983776098e-18         1.25091371557e-19
    1.0367         3.23345168369e-18         1.25309843078e-19
    1.0391         3.46740108881e-18          1.2641369618e-19
    1.0415         3.65683240112e-18         1.27241722766e-19
    1.0439         3.93565389143e-18         1.27666436736e-19
    1.0463         4.08053427339e-18          1.3211394506e-19
    1.0487         4.11655070774e-18         1.30238841336e-19
    1.0511         3.97136711245e-18         1.32628887728e-19
    1.0535         4.01097705147e-18         1.31747400898e-19
    1.0559         4.10550115494e-18          1.3470122535e-19
    1.0583         4.27377441146e-18         1.35801705715e-19
    1.0607         3.84246468963e-18         1.35894272887e-19
    1.0631         3.89532412124e-18         1.35729994762e-19
    1.0655          3.8151173888e-18         1.27905315952e-19
    1.0679          3.4289035311e-18         1.33742422841e-19
    1.0703         3.18337803212e-18         1.24676811088e-19
    1.0727         3.04796184509e-18         1.27819124838e-19
    1.0751          2.9907396928e-18         1.21441710498e-19
    1.0775         2.76917184867e-18         1.29314467452e-19
    1.0799         2.67891890525e-18          1.2092581421e-19
    1.0823         2.65309126959e-18         1.18836178463e-19
    1.0847         2.28391601654e-18         1.18225829475e-19
    1.0871         1.80663229255e-18         1.18841149474e-19
    1.0895         1.54271684629e-18         1.14966500955e-19
    1.0919         1.06279629119e-18         1.12163490554e-19
    1.0943          7.9362943865e-19         1.11637735153e-19
    1.0967         5.57912916003e-19         1.10376385377e-19
    1.0991         2.38490198261e-19         1.09673800611e-19
     1.103          3.7445552432e-19         1.40684724537e-19
   1.10765         3.19916183937e-19         1.23136648335e-19
    1.1123         2.03719664591e-19         1.12815013142e-19
   1.11695         1.43746381185e-19         1.06888017437e-19
    1.1216         1.08686119467e-19         1.02900969965e-19
   1.12625         4.72881326692e-20         1.01222402468e-19
    1.1309         9.86073628339e-20         1.04517669499e-19
   1.13555         1.04714487571e-19         9.79101455269e-20
    1.1402         1.90083254745e-19         9.47412943035e-20
   1.14485         1.70251500959e-19         9.34874591713e-20
    1.1495        -2.86686502939e-20         9.54417894848e-20
   1.15415         1.16528217764e-19         1.00238547361e-19
    1.1588         2.29500968921e-19         9.34512925548e-20
   1.16345         1.22877294751e-19         8.92330772358e-20
    1.1681         7.07716409795e-20         8.72897190705e-20
   1.17275         1.77554494666e-19         9.43392957373e-20
    1.1774         8.68894866264e-20         8.91789561427e-20
   1.18205         9.95814883282e-20          8.3445264325e-20
    1.1867         1.79238854587e-19          8.1068057016e-20
   1.19135         2.76581732279e-19         8.40591736547e-20
     1.196         3.34772936734e-19         7.99673881675e-20
   1.20065          3.8547319273e-19          8.5088209965e-20
    1.2053         5.36152747653e-19         7.72596604266e-20
   1.20995           5.248182105e-19         7.72062548644e-20
    1.2146          7.6707455358e-19         7.56890273924e-20
   1.21925         8.37635861257e-19         7.84946014214e-20
    1.2239         1.10534240443e-18         7.62413607598e-20
   1.22855         1.24990663108e-18         7.58590289581e-20
    1.2332         1.58188477296e-18         7.81686661449e-20
   1.23785         1.89338922451e-18         7.93280970956e-20
    1.2425         2.35283216435e-18         7.89064055614e-20
