#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         1.28521959045e-19         2.98902853834e-19
   1.10765         2.30842362503e-20         2.64789675201e-19
    1.1123          2.3829253739e-19         2.42815655602e-19
   1.11695        -4.94648950199e-19         2.36989628436e-19
    1.1216        -4.73592469125e-19         2.30650935263e-19
   1.12625         3.80024932995e-20         2.26349444606e-19
    1.1309        -3.05585828238e-20         2.43152841305e-19
   1.13555         4.23076421651e-19         2.21902653194e-19
    1.1402        -1.79099597141e-19         2.04951422136e-19
   1.14485        -9.83390033214e-20          2.1077032877e-19
    1.1495         -2.8806363346e-19          2.0755875135e-19
   1.15415        -1.02306151802e-19         1.99370761365e-19
    1.1588        -1.91473281332e-19         2.04402599473e-19
   1.16345        -2.32952499994e-19         1.93685489512e-19
    1.1681         7.07309170794e-20         1.96315817186e-19
   1.17275          1.0193052745e-20         2.08531186614e-19
    1.1774        -5.47918466265e-20         1.93339076904e-19
   1.18205        -1.19196229833e-19         1.83865591159e-19
    1.1867          4.9927822748e-20         1.76368028974e-19
   1.19135         1.95426478579e-19         1.72054393854e-19
     1.196        -6.36591603289e-20         1.68821208369e-19
   1.20065         3.62121979984e-20         1.82228699877e-19
    1.2053        -2.43271850525e-20          1.8801770887e-19
   1.20995          4.8687654556e-19           1.661860531e-19
    1.2146         1.25813329021e-19         1.71018319914e-19
   1.21925         1.91766551812e-19         1.61525161533e-19
    1.2239        -4.36498493929e-20         1.70995422108e-19
   1.22855         2.03979691406e-19         1.64585005664e-19
    1.2332         3.08377299168e-19         1.55368913983e-19
   1.23785         4.02259441342e-19          1.7133927968e-19
    1.2425         5.75139683208e-19         1.53585193711e-19
   1.24715          7.6625073006e-19         1.52133762159e-19
    1.2518         8.12637775888e-19         1.60600316247e-19
   1.25645         9.72000995632e-19         1.53315550059e-19
    1.2611         1.18572634726e-18         1.55157968962e-19
   1.26575          1.6537660444e-18         1.54032905929e-19
    1.2704         1.66291107912e-18         1.50837490785e-19
   1.27505         1.09080876777e-18         1.49665463599e-19
    1.2797         7.21598315976e-19         1.44497834296e-19
   1.28435         8.45099745312e-19         1.41729899506e-19
     1.289         4.26995351562e-19         1.41738696692e-19
   1.29365          2.7083169053e-19         1.39232304332e-19
    1.2983         1.45332463576e-19         1.37260596198e-19
   1.30295         3.34631151169e-19         1.40594284676e-19
    1.3076         1.26475700233e-19         1.34675381938e-19
   1.31225         9.29626976855e-21         1.41420439604e-19
    1.3169         2.37878503572e-20         1.34473095106e-19
   1.32155         1.32128585107e-19         1.29407065085e-19
    1.3262         7.73605892451e-20         1.27193121249e-19
   1.33085         4.71498323589e-20         1.26623045084e-19
    1.3355           7.210045755e-20         1.26167716743e-19
   1.34015         5.04030188395e-20         1.25241523136e-19
    1.3448         1.13857875101e-19           1.238232596e-19
   1.34945        -3.01260964791e-19          1.2493934385e-19
    1.3541        -3.07250186781e-20         1.29189662347e-19
   1.35875        -1.66654760602e-20         1.30679143033e-19
    1.3634        -8.03169949275e-20         1.29462380702e-19
   1.36805        -6.11475375704e-20         1.31107188188e-19
    1.3727         1.40232753351e-20         1.26522515761e-19
   1.37735         7.87457035562e-20         1.30459101339e-19
     1.382          2.1442459678e-19         1.23678570001e-19
   1.38665        -3.22570945029e-20         1.29372012489e-19
    1.3913        -7.92339885291e-20         1.23623694614e-19
   1.39595        -1.59357322679e-20         1.20403915106e-19
    1.4006        -1.16880094576e-19         1.27159346656e-19
   1.40525         7.87859249781e-21         1.25572012104e-19
    1.4099        -8.74992332045e-21         1.31799099136e-19
   1.41455        -1.19830723211e-19         1.24790964269e-19
    1.4192        -2.85863547386e-19         1.23366270505e-19
   1.42385        -8.73325305697e-20         1.21282711322e-19
    1.4285        -9.94301901638e-20         1.21494432453e-19
   1.43315        -3.90682954438e-20         1.20839498538e-19
    1.4378         -2.7192264824e-20         1.15028520108e-19
   1.44245         7.63532507954e-21         1.17429060395e-19
    1.4471         3.01334115512e-20         1.14480856797e-19
   1.45175         6.99371028097e-20         1.13261188192e-19
    1.4564          1.1351533442e-19          1.1752297636e-19
   1.46105         5.57525846979e-20         1.17738238824e-19
    1.4657         1.82086874298e-20         1.17237720572e-19
   1.47035        -5.27194514688e-20         1.15644240072e-19
     1.475        -3.29005055933e-20         1.18170330921e-19
   1.47965        -1.32184313501e-19         1.15012519189e-19
    1.4843        -5.87098627811e-20         1.12908790696e-19
   1.48895         6.03731586291e-20         1.13088613014e-19
    1.4936         8.45006100732e-20          1.1255225403e-19
   1.49825        -3.43323960263e-20         1.13848451836e-19
    1.5029        -8.62936318854e-20         1.17655893768e-19
   1.50755         -5.9287445716e-20         1.11507862955e-19
    1.5122        -2.13650340028e-20         1.12530798533e-19
   1.51685         1.10616832393e-19         1.11732209915e-19
    1.5215         4.59991980958e-20         1.11707603459e-19
   1.52615         2.06181661176e-19         1.11025270628e-19
    1.5308         1.08036956974e-19         1.10751661673e-19
   1.53545         2.21771414477e-19         1.15063715081e-19
    1.5401          1.3121994083e-19         1.12698119855e-19
   1.54475         1.86733016934e-19         1.17742206002e-19
    1.5494         2.07914742244e-19         1.22094967537e-19
   1.55405         3.65950910747e-19         1.16092440125e-19
    1.5587         3.27408996273e-19         1.18838698227e-19
