#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         8.17394540559e-19          8.7065258603e-19
    0.9047         1.44260045293e-18         8.80502274021e-19
    0.9071         1.22346058824e-19         8.74610831591e-19
    0.9095         4.31266509121e-19         8.98636852774e-19
    0.9119         1.59842099951e-19         8.45009455977e-19
    0.9143        -4.34505236496e-19         8.32666198681e-19
    0.9167         5.90082538465e-19         8.28702094791e-19
    0.9191          5.4748477509e-19         7.92813629827e-19
    0.9215         8.31915362632e-19         7.78797849348e-19
    0.9239         1.59507182004e-18         7.78325361951e-19
    0.9263         1.65139851553e-18         8.30121926678e-19
    0.9287         5.05201287626e-19         7.64342792473e-19
    0.9311         3.89428207659e-19         7.47732792813e-19
    0.9335         1.37608789904e-18         7.59769300217e-19
    0.9359         1.59617426625e-19          7.3384834409e-19
    0.9383        -1.24264630852e-19         7.18286346941e-19
    0.9407         6.95199302848e-19         7.34630097889e-19
    0.9431         1.28099349311e-18         7.17311327024e-19
    0.9455         4.50144934449e-19         6.97095210177e-19
    0.9479        -1.44865279649e-19         6.73830038589e-19
    0.9503         5.90996771821e-20          6.6763575293e-19
    0.9527         5.68875847222e-19         6.63289916693e-19
    0.9551        -2.50213961932e-19         6.56366659625e-19
    0.9575        -4.64985737817e-19         6.47164153706e-19
    0.9599        -5.47098520166e-20         6.42785250579e-19
    0.9623         6.47522613011e-21         6.36631279036e-19
    0.9647         1.92650561644e-19          6.3482639161e-19
    0.9671         5.68560278164e-19         6.28025188755e-19
    0.9695        -5.25469120382e-19          6.2179159554e-19
    0.9719         -2.0390832832e-19         6.16980093387e-19
    0.9743         1.52060492842e-19         6.11640541886e-19
    0.9767        -7.81262652814e-20         6.03967180998e-19
    0.9791        -1.32695655942e-19         5.99283793744e-19
    0.9815        -1.33003757002e-19         5.96554660586e-19
    0.9839         2.89134874582e-19          5.9351641863e-19
    0.9863          5.1014331227e-19         5.92650793345e-19
    0.9887         8.64498799124e-19         5.91297741973e-19
    0.9911         1.35428570335e-18         5.88583750937e-19
    0.9935         7.40831407123e-19         5.87153974781e-19
    0.9959         9.55817088734e-19         5.84470732503e-19
    0.9983         1.34157267279e-18         5.78531595336e-19
    1.0007         1.73129076398e-18         5.73382006514e-19
    1.0031         1.41515151086e-18         5.79441604182e-19
    1.0055         7.90767930988e-19         5.69293270831e-19
    1.0079         1.89573071453e-18          5.6265893904e-19
    1.0103         1.89162364614e-18         5.67299550343e-19
    1.0127         2.04508954958e-18          5.6353175493e-19
    1.0151         1.55313862626e-18         5.57921404592e-19
    1.0175          2.1195826377e-18         5.64390267445e-19
    1.0199         2.88617161538e-18         5.62452129033e-19
    1.0223         2.15796476244e-18         5.83153298396e-19
    1.0247         2.44649580963e-18         5.56291210965e-19
    1.0271         2.28798726834e-18         5.52222843973e-19
    1.0295         2.51660064659e-18         5.61432875517e-19
    1.0319         3.20449782591e-18         5.57794299347e-19
    1.0343         3.13638545552e-18         5.29998154791e-19
    1.0367         3.45717615638e-18         5.27471897424e-19
    1.0391         2.57586478381e-18         5.47232437999e-19
    1.0415         2.40458189106e-18         5.25957233725e-19
    1.0439         3.39056024359e-18         5.30395923136e-19
    1.0463         3.15562564787e-18          5.3614369394e-19
    1.0487         3.47883188154e-18         5.27545265446e-19
    1.0511         3.71976781331e-18         5.37252729569e-19
    1.0535         3.35442164785e-18         5.58689024597e-19
    1.0559         3.56894571027e-18         5.53080393175e-19
    1.0583         4.09775973876e-18         5.68254204913e-19
    1.0607          4.2064749675e-18         5.47495818657e-19
    1.0631         4.26174514112e-18         5.56162761008e-19
    1.0655         4.30970402155e-18         5.36485652364e-19
    1.0679         4.59323647161e-18         5.19702207487e-19
    1.0703         4.17526271878e-18         5.06120248945e-19
    1.0727         3.26322843136e-18         5.09815813341e-19
    1.0751         3.49500293147e-18         5.15430950803e-19
    1.0775         3.82051811509e-18         5.20266235237e-19
    1.0799         3.92300402773e-18         5.00214307924e-19
    1.0823         3.78965921125e-18         5.00319461893e-19
    1.0847         3.44437778672e-18         4.98341173978e-19
    1.0871         3.03975647761e-18         5.15661236215e-19
    1.0895         1.93336356965e-18         5.00733269877e-19
    1.0919         1.87814044601e-18         4.88087041198e-19
    1.0943         1.13792248765e-18         4.84254257973e-19
    1.0967         1.52562676669e-18         4.84109526229e-19
    1.0991         1.02740619059e-18         5.06613955364e-19
     1.103         5.16584895161e-19         4.40826380454e-19
   1.10765          4.1012057936e-19         4.16150403975e-19
    1.1123        -1.98068717146e-19         3.58250150675e-19
   1.11695        -3.52546752017e-19         3.49376729353e-19
    1.1216        -2.36009730687e-19         3.42151581545e-19
   1.12625        -3.28575960687e-19         3.20292549783e-19
    1.1309        -1.44942655093e-19         3.39531868671e-19
   1.13555        -1.38401257158e-19         3.07414448963e-19
    1.1402         3.82757275125e-19         3.14710110093e-19
   1.14485        -1.21727873163e-19          3.0597361098e-19
    1.1495         1.74510771994e-19         3.27457939887e-19
   1.15415         -4.9270310142e-20         3.02925364223e-19
    1.1588        -4.15414958394e-19          2.8998166616e-19
   1.16345          2.1191615089e-19         2.90905296729e-19
    1.1681         4.21529075938e-19         2.80766944756e-19
   1.17275         3.14855255775e-19         2.91963616649e-19
    1.1774         -3.8617119651e-19         2.76881474202e-19
   1.18205         1.80764524451e-19         2.78714979424e-19
    1.1867         5.24708916178e-19         2.53277206995e-19
   1.19135         4.94232904139e-19         2.53033609299e-19
     1.196         3.40092935071e-19         2.55957767269e-19
   1.20065         4.71785184447e-19         2.39444588506e-19
    1.2053         7.35648330903e-19         2.39025819906e-19
   1.20995         6.35135840369e-19          2.3564873645e-19
    1.2146         1.01733906668e-18         2.33451447859e-19
   1.21925         1.32713225245e-18          2.3299531694e-19
    1.2239         1.47433510256e-18         2.34587877646e-19
   1.22855          1.9245262275e-18         2.34445029268e-19
    1.2332         2.42191067932e-18         2.28814797582e-19
   1.23785         2.69659873863e-18         2.28048020137e-19
    1.2425         3.28620351589e-18         2.27829917295e-19
   1.24715         3.94549225292e-18         2.29405465182e-19
    1.2518         4.56795142413e-18         2.29527658015e-19
   1.25645          4.7546266978e-18         2.29339621662e-19
    1.2611          5.4355528578e-18         2.42755518529e-19
   1.26575         5.64493501436e-18         2.34255396618e-19
    1.2704         5.42826928016e-18         2.40385159811e-19
   1.27505         4.99452382973e-18         2.24585385729e-19
    1.2797         4.52193737852e-18         2.22643484976e-19
   1.28435         3.80799385986e-18         2.16056455905e-19
     1.289         2.94243099304e-18         2.17980425346e-19
