#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         4.54650407964e-19         3.08834280612e-19
   1.10765        -4.25251867129e-20         3.02370488416e-19
    1.1123         3.05522383354e-19         2.54544271963e-19
   1.11695        -1.10663535613e-19         2.31034973059e-19
    1.1216        -2.64902726907e-19         2.23587781176e-19
   1.12625         -1.4287523637e-19         2.20256237768e-19
    1.1309        -4.91612113187e-21         2.22569824702e-19
   1.13555        -3.36105462904e-19          2.1197069575e-19
    1.1402        -1.85709168545e-19         2.19183620776e-19
   1.14485         1.00474096929e-19         2.22634441774e-19
    1.1495        -4.01905245559e-20         2.08445508856e-19
   1.15415        -1.33477155431e-19         1.99329113807e-19
    1.1588        -4.35306295247e-19          1.9988242419e-19
   1.16345         5.29591399536e-21         1.96078366067e-19
    1.1681         1.31752618297e-19         1.92409773541e-19
   1.17275         1.24776820222e-19         1.94951564167e-19
    1.1774        -6.06738654118e-21         1.83648703374e-19
   1.18205        -1.32138323436e-19         1.86733527399e-19
    1.1867         -8.3145233643e-20         1.93848430688e-19
   1.19135          1.3982496225e-19         1.81965453812e-19
     1.196          2.8404036622e-19         1.86576462092e-19
   1.20065         2.66774824701e-19         1.69681978948e-19
    1.2053         5.75055721883e-20         1.67438898797e-19
   1.20995          4.7116486184e-19         1.73768179947e-19
    1.2146         3.87690796355e-19         1.79930797412e-19
   1.21925         3.93270172388e-19         1.74526144461e-19
    1.2239         4.60744652491e-19         1.61244631675e-19
   1.22855         7.43304025345e-19         1.64985649919e-19
    1.2332          7.6780676193e-19         1.67774114169e-19
   1.23785         8.72585314806e-19          1.6648248709e-19
    1.2425         1.10240349787e-18         1.63757987982e-19
   1.24715         1.38651338923e-18         1.58237873287e-19
    1.2518         1.37936115427e-18         1.65133063301e-19
   1.25645         1.36677570334e-18         1.54338992136e-19
    1.2611         1.91443702569e-18         1.57746006425e-19
   1.26575         2.21784944027e-18         1.69816721972e-19
    1.2704         1.95166943117e-18           1.556952618e-19
   1.27505         1.89777763144e-18         1.59006006062e-19
    1.2797         1.62250458163e-18          1.5691011533e-19
   1.28435          1.0666434372e-18         1.44982469736e-19
     1.289          7.5143392584e-19         1.42799009613e-19
   1.29365         6.71443384596e-19         1.41366444157e-19
    1.2983         5.84391829314e-19         1.38630254251e-19
   1.30295         4.18783230899e-19         1.36752759137e-19
    1.3076         2.68222173783e-19         1.35465326663e-19
   1.31225         2.54879893651e-19         1.34567908827e-19
    1.3169        -3.02186349885e-20         1.37946006141e-19
   1.32155        -2.46861754601e-20         1.31063674605e-19
    1.3262         1.31788000823e-19         1.38347963981e-19
   1.33085         1.72131660544e-19          1.4386198136e-19
    1.3355         4.20519094405e-20         1.28815887094e-19
   1.34015        -2.34361601711e-19         1.26255425492e-19
    1.3448         1.06406207303e-20         1.27694719694e-19
   1.34945        -4.43916080058e-21         1.24975616591e-19
    1.3541         -7.6094719248e-20         1.22750104664e-19
   1.35875         1.53722625944e-19         1.23378862675e-19
    1.3634         1.05227613974e-19         1.22882678731e-19
   1.36805         1.87571753599e-19         1.24888277818e-19
    1.3727         1.73124557776e-19         1.37391634799e-19
   1.37735        -5.14098424948e-20         1.30070181787e-19
     1.382         1.02573018283e-19         1.31398814749e-19
   1.38665        -7.13707053592e-20         1.23965323472e-19
    1.3913         1.00531651433e-19         1.30633275973e-19
   1.39595         5.60270886704e-20         1.22641495798e-19
    1.4006          5.4900503887e-20         1.32077906049e-19
   1.40525         -2.6255808507e-19         1.19373972828e-19
    1.4099        -1.35840907683e-19         1.17745151643e-19
   1.41455        -5.13762550182e-20         1.23272044284e-19
    1.4192         9.77711255417e-20         1.22530640632e-19
   1.42385         1.91042141922e-19         1.32514628833e-19
    1.4285        -3.01890310346e-20         1.20622985379e-19
   1.43315         3.14202333719e-20         1.21031019036e-19
    1.4378         1.29249869044e-19         1.22355839211e-19
   1.44245         4.99508371844e-20         1.16103827278e-19
    1.4471        -3.51528523906e-21         1.20291690028e-19
   1.45175         2.11473124976e-20         1.15260412975e-19
    1.4564         5.51098579861e-20          1.2101640581e-19
   1.46105        -9.47429899907e-20         1.16954886882e-19
    1.4657         1.06157032872e-20         1.16046840559e-19
   1.47035         1.89178588284e-19         1.15250397602e-19
     1.475         1.17578460939e-19         1.20341138202e-19
   1.47965         2.27036208299e-19         1.21859946572e-19
    1.4843        -9.23068884854e-20         1.15657521933e-19
   1.48895         4.42506385799e-20         1.18012884208e-19
    1.4936         1.84827977692e-20         1.13517853485e-19
   1.49825         1.11065470286e-19         1.14494632097e-19
    1.5029         1.57923692099e-19         1.13715064225e-19
   1.50755         3.45423052082e-19         1.14089954307e-19
    1.5122         3.25252855454e-19         1.14293177091e-19
   1.51685          1.2320217318e-20         1.12899017901e-19
    1.5215         1.51092567011e-19         1.11363795517e-19
   1.52615         9.15917296877e-20         1.13009912076e-19
    1.5308         2.43443015703e-19         1.12280152421e-19
   1.53545         4.79584698591e-19         1.19498446099e-19
    1.5401         4.71687462611e-19         1.15425913152e-19
   1.54475          2.8744112099e-19         1.17140785736e-19
    1.5494         3.25884183407e-19         1.19547506354e-19
   1.55405         5.07589054831e-19         1.26113008572e-19
    1.5587         6.28163426275e-19         1.23676984743e-19
   1.56335         6.93881649651e-19         1.24854020762e-19
     1.568         6.91767364575e-19         1.20170159493e-19
   1.57265         8.84590758137e-19         1.22779079231e-19
    1.5773          8.4195964989e-19         1.22722786925e-19
   1.58195         9.38889223713e-19          1.1936398651e-19
    1.5866         9.45127585921e-19          1.1449022579e-19
   1.59125         9.31999856858e-19         1.14072363321e-19
    1.5959         9.16901592404e-19         1.14833502596e-19
   1.60055         6.95287295791e-19         1.13570065824e-19
    1.6052         5.05928780051e-19         1.13005727956e-19
   1.60985         2.18582886214e-19         1.17450888819e-19
    1.6145         1.35352773919e-19         1.12979228601e-19
   1.61915         5.80992085708e-20          1.1166404882e-19
    1.6238         4.98965417238e-20         1.12990406264e-19
   1.62845          -5.765309952e-20         1.18485772287e-19
    1.6331        -1.00271634412e-19         1.13644619143e-19
   1.63775         6.36238848893e-20         1.14424922589e-19
    1.6424          6.7733109442e-20         1.15231927834e-19
   1.64705        -2.23575635006e-20         1.14749601995e-19
    1.6517        -3.25192076572e-20         1.20448790582e-19
   1.65635         9.98923369737e-20         1.21508937996e-19
     1.661        -8.23723936112e-20         1.25240902021e-19
   1.66565        -1.58441391032e-19          1.3855168858e-19
    1.6703         8.13116486318e-20          1.5990597102e-19
   1.67495        -4.69273933319e-20         1.92191051435e-19
    1.6796         1.56901338734e-19         2.41379287348e-19
   1.68425        -4.08354187016e-20          3.1164605111e-19
    1.6889        -3.01846338367e-19         4.03012994876e-19
   1.69355         -5.9205083184e-19         5.13487422478e-19
    1.6982         1.88566718395e-19         6.37306962718e-19
