#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023        -1.62245957716e-19         7.24815480566e-19
    0.9047          5.2143862308e-19         7.17146264997e-19
    0.9071         2.10807997033e-19         7.07688340976e-19
    0.9095         8.52519423877e-19         7.31688130573e-19
    0.9119         3.32707257691e-19         7.07095965096e-19
    0.9143         2.32202316594e-19         7.14263326677e-19
    0.9167         3.77203378308e-19         6.57883475814e-19
    0.9191          1.0682584329e-19         6.87766953097e-19
    0.9215         7.67509043326e-20         6.62331372945e-19
    0.9239         7.48467841424e-19         7.12228866565e-19
    0.9263        -9.91206260719e-20         6.16256360525e-19
    0.9287         4.93383972924e-20         6.09471590705e-19
    0.9311        -1.21249610022e-18         6.09763915215e-19
    0.9335        -5.35682811457e-19         6.38829799795e-19
    0.9359        -3.67107806315e-19         6.02898542856e-19
    0.9383         2.67497415283e-20         5.86143201351e-19
    0.9407        -5.14736480711e-19         5.84579168477e-19
    0.9431        -2.89519391911e-19         5.93814989631e-19
    0.9455        -7.65616463048e-19         5.95337842118e-19
    0.9479         5.51782561091e-21         5.77660747683e-19
    0.9503        -4.92964139079e-19         5.53813627156e-19
    0.9527         -1.5010692916e-19         5.48156954314e-19
    0.9551         4.50030880505e-19         5.75989879542e-19
    0.9575        -7.04101225381e-19         5.38191957643e-19
    0.9599        -6.74566632466e-19         5.32051701964e-19
    0.9623        -3.61079991808e-19         5.29762489017e-19
    0.9647        -3.91384539494e-19         5.20964648548e-19
    0.9671         -2.6698826662e-19         5.17534529253e-19
    0.9695         2.46533428999e-19          5.1526959634e-19
    0.9719         5.32492576872e-19         5.14268544276e-19
    0.9743         6.45179439429e-19         5.17261180211e-19
    0.9767         7.28380734165e-19         5.00553680809e-19
    0.9791         -1.1185759317e-20         4.95277533788e-19
    0.9815        -6.18790328238e-19         4.89717123199e-19
    0.9839        -3.97333106406e-20         4.88920522751e-19
    0.9863          8.3561761391e-19         4.92556801912e-19
    0.9887         8.43737644261e-19         4.89695675044e-19
    0.9911         1.50211784728e-18         4.90089511244e-19
    0.9935         1.29303077431e-18         4.86804468595e-19
    0.9959         9.50498200785e-19         4.83081579882e-19
    0.9983         5.92524940939e-19         4.74110441944e-19
    1.0007          1.4097116286e-18         4.70201894281e-19
    1.0031         9.03349281574e-19         4.91019409601e-19
    1.0055         1.00106350753e-18         4.71445030161e-19
    1.0079         1.27947631935e-18         4.74106511047e-19
    1.0103         1.77555627548e-18         4.67074923516e-19
    1.0127         9.00727131749e-19         5.02032655547e-19
    1.0151         1.14039079036e-18         4.72950237498e-19
    1.0175         1.30019340185e-18         4.73576470022e-19
    1.0199         1.59133878394e-18         4.54072039038e-19
    1.0223         1.64107774799e-18         4.72644942236e-19
    1.0247         1.60061169188e-18         4.61311774259e-19
    1.0271         1.66329299556e-18         4.64038584335e-19
    1.0295         2.70610378259e-18          4.4585396173e-19
    1.0319         2.59475989149e-18         4.39597904425e-19
    1.0343         2.16963234202e-18         4.38338039754e-19
    1.0367         3.04505547278e-18          4.4156101953e-19
    1.0391         3.26111637133e-18         4.41936700675e-19
    1.0415          3.3599263517e-18         4.42633601658e-19
    1.0439         3.20979165146e-18         4.42141262537e-19
    1.0463         3.93248301897e-18         4.43497348105e-19
    1.0487         3.72717801587e-18         4.38893066137e-19
    1.0511          4.1299738203e-18         4.44422268145e-19
    1.0535         4.07146704595e-18         4.42894033659e-19
    1.0559         4.59796003607e-18          4.4702827215e-19
    1.0583         4.36239628858e-18         4.52421866329e-19
    1.0607         4.66471205243e-18         4.47613578768e-19
    1.0631         4.52485217859e-18         4.53288153272e-19
    1.0655         4.09254924755e-18         4.29050145162e-19
    1.0679         4.42620861072e-18         4.31713401024e-19
    1.0703         4.88527310579e-18         4.35205950364e-19
