#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023        -8.02152337429e-19         6.76421447238e-19
    0.9047         7.23800860176e-19         6.78862595357e-19
    0.9071        -2.86882672942e-19          6.6620428864e-19
    0.9095         6.44647547509e-20         6.56808496872e-19
    0.9119         5.96643720462e-20         6.47813774493e-19
    0.9143        -4.63722873918e-19         6.30317203564e-19
    0.9167         6.74986327359e-19         6.23400896334e-19
    0.9191         2.47466095446e-19         6.07408907542e-19
    0.9215         3.54321038295e-19         5.92736825938e-19
    0.9239         8.04006588625e-19         5.88548173456e-19
    0.9263         1.63708914271e-19         5.82624578041e-19
    0.9287        -1.29890728115e-18         5.74802452307e-19
    0.9311         2.20351029168e-19         5.72148714911e-19
    0.9335          3.4326877865e-19         5.65178881612e-19
    0.9359        -5.70750151506e-19         5.61565944456e-19
    0.9383         2.30327905027e-20           5.609390083e-19
    0.9407         2.27832247987e-19         5.85902697559e-19
    0.9431         4.38524133233e-19         5.43823129296e-19
    0.9455         1.40397962404e-18         5.42819950031e-19
    0.9479         3.88305196068e-19         5.30806858458e-19
    0.9503         2.24915043945e-19         6.26039482939e-19
    0.9527        -1.65600784471e-19         5.16653911668e-19
    0.9551        -2.18433356498e-19         5.13016416408e-19
    0.9575         3.50045284239e-19         5.16513516212e-19
    0.9599         3.85472895974e-19         5.26153441065e-19
    0.9623         1.66064478593e-19         5.19762532158e-19
    0.9647        -8.93998036211e-19         4.97761724316e-19
    0.9671         5.69984427186e-20         4.92119053417e-19
    0.9695         5.43458216061e-19           5.052502159e-19
    0.9719         6.55901849472e-20         5.17330141684e-19
    0.9743         1.85952511522e-19         5.01018777668e-19
    0.9767         2.35067219324e-19         4.84699949327e-19
    0.9791         6.63497196809e-19         4.87309675673e-19
    0.9815         1.72689661764e-19          4.6840475889e-19
    0.9839         3.27989244254e-19         4.64728453068e-19
    0.9863        -5.70937986379e-20         4.61399366907e-19
    0.9887         9.47310316975e-19         4.65673356527e-19
    0.9911         9.22893437807e-19         4.64672858355e-19
    0.9935         1.05789135714e-18         4.61460980275e-19
    0.9959         7.38010284023e-19         4.56225501812e-19
    0.9983         1.21302102931e-18         4.49389414641e-19
    1.0007         1.53805279889e-18         4.44027733568e-19
    1.0031         2.03272936992e-18         4.41869597782e-19
    1.0055         1.83531461233e-18         4.39467967515e-19
    1.0079         6.54745950053e-19         4.35733365808e-19
    1.0103         1.69797088854e-18          4.3798498031e-19
    1.0127         1.16018038387e-18          4.3476233957e-19
    1.0151         2.36107721713e-18         4.36377480919e-19
    1.0175         2.11328401194e-18         4.31793220332e-19
    1.0199         1.93679141931e-18         4.30239622137e-19
    1.0223          2.6862179735e-18         4.28870295477e-19
    1.0247          2.4602738221e-18         4.22557035639e-19
    1.0271         2.43528455781e-18         4.21834543365e-19
    1.0295         2.77065916494e-18         4.18427454961e-19
    1.0319          2.5636519114e-18         4.21021170407e-19
    1.0343         2.73575286309e-18         4.33470939089e-19
    1.0367         3.10060570185e-18         4.14361306591e-19
    1.0391         3.46667275207e-18         4.35370277647e-19
    1.0415         3.32216203256e-18         4.32063846156e-19
    1.0439         3.01023083217e-18         4.59423978065e-19
    1.0463         2.96625132534e-18         4.15801735186e-19
    1.0487         2.83479405622e-18         4.22637401387e-19
    1.0511         3.39666776076e-18         4.24344290053e-19
    1.0535         3.75454222895e-18         4.46029096316e-19
    1.0559         3.96434613512e-18         4.17594054185e-19
    1.0583         4.15506267464e-18         4.18658395035e-19
    1.0607         3.27709995581e-18         4.15289200829e-19
    1.0631         3.91180226978e-18          4.1440358021e-19
    1.0655         4.07312153642e-18         4.10527803107e-19
    1.0679         4.10248044282e-18         4.09546658903e-19
    1.0703         3.52871782249e-18         4.05417096836e-19
    1.0727         3.68476196541e-18         4.15024332224e-19
    1.0751         3.96440498899e-18         4.10065485294e-19
    1.0775         3.75843388388e-18         4.03814814397e-19
