#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         2.16665081687e-18         3.31786502893e-19
   1.10765         1.29941756991e-18         2.82116331267e-19
    1.1123         9.26179718175e-19         2.50269413463e-19
   1.11695         8.90318639914e-19         2.37544658608e-19
    1.1216         7.31674350673e-19         2.29445268154e-19
   1.12625         2.05783633337e-19         2.32243647074e-19
    1.1309         4.18424896758e-19         2.32969645822e-19
   1.13555         7.17127513881e-19         2.20208042528e-19
    1.1402         5.21367751155e-19         2.45990730886e-19
   1.14485         1.44700314638e-19         2.23983667414e-19
    1.1495         -3.7175582159e-19         2.04746144217e-19
   1.15415         8.82427844594e-20         2.15392162262e-19
    1.1588         1.28137308763e-19         2.15113205739e-19
   1.16345         1.69231035035e-19          2.0038591365e-19
    1.1681         1.92589174328e-19         1.97365175319e-19
   1.17275         1.57351454534e-19         1.90707837852e-19
    1.1774        -5.41223336261e-20          1.9325745391e-19
   1.18205         1.89461181745e-19         2.10642387188e-19
    1.1867         6.77321350647e-19         1.99702571658e-19
   1.19135         8.58850606102e-19         1.82664622026e-19
     1.196         8.10230588516e-19         1.76587924777e-19
   1.20065         9.48731407145e-19         1.73398309325e-19
    1.2053         1.51717510128e-18          1.7492850933e-19
   1.20995         2.29436653439e-18         1.84855143264e-19
    1.2146         2.82790304875e-18         2.05095895357e-19
   1.21925         3.87061830969e-18         1.85486582153e-19
    1.2239         5.00139919446e-18         1.96016115642e-19
   1.22855         6.25723424954e-18         1.95311269547e-19
    1.2332         7.10439643341e-18         2.14341243571e-19
   1.23785         8.79544992801e-18         2.21967364006e-19
    1.2425         1.04128674338e-17         2.18917884137e-19
   1.24715         1.21245042416e-17         2.37653479506e-19
    1.2518         1.38173066806e-17         2.43010230634e-19
   1.25645         1.54195379647e-17         2.54430403445e-19
    1.2611         1.64342879601e-17         2.77927227636e-19
   1.26575         1.73304115989e-17         2.72435849048e-19
    1.2704         1.71748387665e-17         2.66396740879e-19
   1.27505         1.58606756738e-17         2.53958218228e-19
    1.2797         1.37747839606e-17         2.36841099447e-19
   1.28435         1.12942482498e-17          2.1683023424e-19
     1.289         8.96862591968e-18         1.97828214255e-19
   1.29365         7.22962823101e-18         1.84149074955e-19
    1.2983         5.94634597236e-18         1.73941490034e-19
   1.30295         4.67214605532e-18         1.63766067646e-19
    1.3076         3.44163971754e-18         1.54823802333e-19
   1.31225         2.43363000185e-18         1.53311581322e-19
    1.3169           2.055716695e-18         1.46697601913e-19
   1.32155         1.63975771991e-18         1.49565103093e-19
    1.3262         9.50502252266e-19         1.40316224859e-19
   1.33085         3.44166199164e-19         1.33090601231e-19
    1.3355        -7.47037194267e-20         1.30960181848e-19
   1.34015        -7.34132916767e-20          1.3004287987e-19
    1.3448        -7.63007256724e-20         1.29467737486e-19
   1.34945        -1.39992573427e-19         1.27974812699e-19
    1.3541        -2.89465932643e-19         1.26073428383e-19
   1.35875        -3.61559270696e-19         1.25692813745e-19
    1.3634        -3.82962509731e-19         1.26606956465e-19
   1.36805        -4.18086565545e-19         1.37327347702e-19
    1.3727        -4.11345483219e-19           1.386317672e-19
   1.37735        -3.78778653301e-19         1.40843302071e-19
     1.382         -3.2696295373e-19         1.34010874182e-19
   1.38665        -3.74609867715e-19         1.34972038962e-19
    1.3913        -3.93335518489e-19         1.28866336001e-19
   1.39595        -4.55434087072e-19         1.32428791857e-19
    1.4006        -3.04302222799e-19         1.29472750553e-19
   1.40525        -2.57573351509e-19          1.2539606542e-19
    1.4099        -3.62687686337e-19         1.30189721697e-19
   1.41455         -3.6729493897e-19          1.3110182597e-19
    1.4192        -5.71437270337e-19         1.41282067785e-19
   1.42385        -3.89685445376e-19         1.35669981815e-19
    1.4285        -3.63965165601e-19         1.25083506327e-19
   1.43315        -3.19846293022e-19         1.25702520343e-19
    1.4378        -1.51875715712e-19         1.25144816475e-19
   1.44245          -1.038352816e-19         1.19703351741e-19
    1.4471        -1.10665974284e-19         1.19202833595e-19
   1.45175        -3.22689336195e-20         1.22720990602e-19
    1.4564         7.42436190397e-20         1.21905688626e-19
   1.46105         6.08339572186e-20         1.20710221231e-19
    1.4657         1.29039836875e-19          1.2046593716e-19
   1.47035         1.43261093166e-19         1.20632215953e-19
     1.475         2.66673483667e-20         1.23746369249e-19
   1.47965         8.85852093765e-20         1.24298226952e-19
    1.4843         1.04537849416e-19         1.20499969142e-19
   1.48895         2.81314793715e-19         1.20933131006e-19
    1.4936         4.72863085609e-19         1.20653222671e-19
   1.49825         5.73031409507e-19         1.20728855328e-19
    1.5029         6.06393193927e-19         1.20332743418e-19
   1.50755         5.87041204046e-19         1.20701355411e-19
    1.5122          6.7753474677e-19         1.24901480674e-19
   1.51685         8.06050765716e-19         1.21838685302e-19
    1.5215         1.12794178699e-18         1.22960197563e-19
   1.52615         1.37646683751e-18         1.25175223208e-19
    1.5308         1.66195563682e-18          1.2640248152e-19
   1.53545         2.00573170928e-18         1.29327703697e-19
    1.5401         2.52904537732e-18         1.33131451802e-19
   1.54475         3.24650718584e-18         1.40974960047e-19
    1.5494         3.80608881715e-18         1.45604594122e-19
   1.55405         4.24037768273e-18         1.50427827286e-19
    1.5587         5.26369055996e-18         1.63957207601e-19
   1.56335          5.9939176479e-18         1.62281230572e-19
     1.568         6.95529127848e-18         1.64065136358e-19
   1.57265         7.48889622457e-18         1.65394451312e-19
    1.5773         7.70303686265e-18         1.71560700983e-19
   1.58195         8.43213362039e-18         1.73022081864e-19
    1.5866         7.90928381763e-18         1.64549865732e-19
   1.59125         7.05283153619e-18         1.58946754507e-19
    1.5959         5.71251382295e-18         1.50099578987e-19
   1.60055         4.22562900096e-18         1.39465885301e-19
    1.6052          2.6684087368e-18         1.36742925366e-19
   1.60985         1.59127968552e-18         1.33377353561e-19
    1.6145         1.19357329829e-18         1.23713917352e-19
   1.61915         8.55041470381e-19         1.22123130252e-19
    1.6238         6.30065014508e-19         1.25222475314e-19
   1.62845         4.72464018839e-19         1.24828375359e-19
    1.6331         4.38271659422e-19         1.22147420534e-19
   1.63775         3.16357681202e-19         1.22040722209e-19
    1.6424         4.84425360746e-19         1.23731414933e-19
   1.64705         5.62260453664e-19         1.26579038069e-19
    1.6517         5.33240492129e-19         1.33359603515e-19
   1.65635         5.98997797034e-19         1.30018927866e-19
     1.661         5.85695802345e-19         1.36039801309e-19
   1.66565         3.27669403233e-19         1.48414781647e-19
    1.6703        -1.02524237092e-19         1.69391688703e-19
   1.67495         7.83734129095e-20          2.0441246587e-19
    1.6796         1.71145146608e-19         2.58368812476e-19
   1.68425         6.28063336433e-19         3.37095726767e-19
    1.6889         8.07948598247e-19         4.35952020402e-19
   1.69355         6.78084766955e-19         5.46420994124e-19
    1.6982         4.12479867665e-19         6.77315624509e-19
