#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         1.32856353301e-18         3.22686988147e-19
   1.10765          9.8557513439e-19         2.79353975008e-19
    1.1123         6.69732678882e-19          2.4899534287e-19
   1.11695         4.16216841607e-19         2.35625373951e-19
    1.1216         2.96913731366e-19         2.28834486285e-19
   1.12625         2.53695329213e-19         2.31093059729e-19
    1.1309         1.37803474258e-19         2.31249527486e-19
   1.13555         2.16473556779e-19         2.27758247991e-19
    1.1402          9.7370878492e-20         2.38935286658e-19
   1.14485         2.33206237176e-19         2.24881761066e-19
    1.1495         2.41318644542e-19         2.08153226133e-19
   1.15415         1.98920846638e-19         2.12924604719e-19
    1.1588        -1.36325069542e-20         2.13598835336e-19
   1.16345         2.54795121609e-20         2.02455631046e-19
    1.1681        -2.30349184524e-20         2.04393125289e-19
   1.17275        -4.58408494861e-20         1.95636087103e-19
    1.1774         3.38777156668e-19         1.93395245018e-19
   1.18205         3.95284314127e-19         2.06249946372e-19
    1.1867         1.55983069801e-19         1.98129798633e-19
   1.19135         2.33259914673e-19         1.86271105111e-19
     1.196         6.52956791381e-19         1.77768989334e-19
   1.20065         9.01209772385e-19         1.74464107295e-19
    1.2053         1.11815437297e-18         1.76317979773e-19
   1.20995         1.46171101974e-18         1.83860038811e-19
    1.2146         1.81982727453e-18         1.97305972884e-19
   1.21925         2.53406172297e-18           1.803926634e-19
    1.2239         3.21444078348e-18         1.84516666002e-19
   1.22855         3.88965843057e-18         1.81227504089e-19
    1.2332         4.75153679824e-18         1.94789381663e-19
   1.23785          6.0081148288e-18         2.01341226513e-19
    1.2425         7.27785293944e-18         1.98012801597e-19
   1.24715         8.75843969804e-18         2.11368994119e-19
    1.2518         1.01089598715e-17         2.14804251304e-19
   1.25645         1.12026997623e-17         2.19954532173e-19
    1.2611         1.21881181547e-17         2.39422341304e-19
   1.26575         1.33842788834e-17         2.40532165662e-19
    1.2704         1.30093027044e-17         2.30943579572e-19
   1.27505         1.13356723882e-17         2.16802092657e-19
    1.2797         9.31107366688e-18         2.00870171698e-19
   1.28435         7.46802246351e-18         1.86590048876e-19
     1.289         5.78816846298e-18         1.75199126093e-19
   1.29365         4.34509127482e-18         1.65345801578e-19
    1.2983         3.32058730964e-18         1.57368392701e-19
   1.30295         2.49312337051e-18         1.50466807819e-19
    1.3076         1.72030310982e-18         1.44547771889e-19
   1.31225         1.16032805051e-18         1.44778097848e-19
    1.3169         7.81519794806e-19         1.40515899962e-19
   1.32155         6.04750679397e-19         1.42131132157e-19
    1.3262         3.15008865608e-19         1.37906047504e-19
   1.33085         5.08498971691e-20         1.32242834968e-19
    1.3355        -2.60536198747e-19         1.29997448696e-19
   1.34015        -7.37438692152e-20         1.30049472205e-19
    1.3448        -1.39260867396e-20         1.28915678844e-19
   1.34945          -7.981247927e-20          1.2685488111e-19
    1.3541        -1.58770816476e-19         1.25384525879e-19
   1.35875        -1.99522634694e-19          1.2501243761e-19
    1.3634        -1.60818318057e-19         1.25769026526e-19
   1.36805        -2.25924069382e-19          1.3265530231e-19
    1.3727        -1.80322077931e-19         1.36208304049e-19
   1.37735        -2.13395314854e-19         1.36142696674e-19
     1.382        -1.58330811747e-19         1.31998720119e-19
   1.38665        -6.37135859277e-20         1.32394002339e-19
    1.3913        -7.42746971289e-20         1.28468249253e-19
   1.39595        -8.15326826702e-20         1.30073625483e-19
    1.4006        -1.45888219278e-19         1.27815313883e-19
   1.40525        -2.06257035188e-19         1.22974269766e-19
    1.4099        -4.01408649789e-20         1.26477899317e-19
   1.41455         1.41117924595e-19         1.29417627292e-19
    1.4192          2.0490259127e-20         1.36342130186e-19
   1.42385         1.15069143111e-20         1.33230790351e-19
    1.4285        -1.52364462433e-19         1.22975173885e-19
   1.43315        -1.46875099352e-19         1.22153012254e-19
    1.4378        -1.29220427804e-19         1.21852540899e-19
   1.44245        -8.72887069581e-20         1.20853717324e-19
    1.4471         6.31476205225e-20         1.20279260614e-19
   1.45175         9.92910225942e-20         1.21011294894e-19
    1.4564        -6.60623342845e-20         1.19516547404e-19
   1.46105        -8.41343702397e-20         1.18168980949e-19
    1.4657        -2.13724588782e-20         1.17726347925e-19
   1.47035        -5.75625911901e-20         1.20622993142e-19
     1.475        -2.21684842002e-20         1.22436005214e-19
   1.47965         -7.7107989437e-20         1.21533961683e-19
    1.4843        -1.17320909698e-19         1.17418394718e-19
   1.48895         1.07241450738e-19         1.17524289412e-19
    1.4936          1.9625645091e-19         1.17102175165e-19
   1.49825         1.51737047442e-19         1.16927466611e-19
    1.5029          5.7717824897e-20         1.16110069237e-19
   1.50755         4.00864738606e-21         1.15616504554e-19
    1.5122         1.99315421123e-19         1.19010864387e-19
   1.51685         2.58553515008e-19         1.17487565906e-19
    1.5215         4.66110680977e-19         1.17426001429e-19
   1.52615         6.71437386365e-19         1.17975199406e-19
    1.5308           7.089851864e-19         1.19153729378e-19
   1.53545         9.15508224479e-19         1.20485391414e-19
    1.5401         1.28427727219e-18         1.21150014019e-19
   1.54475         1.52709036821e-18          1.2479385639e-19
    1.5494         1.83217863412e-18         1.28637594052e-19
   1.55405         2.34433276086e-18         1.34932730696e-19
    1.5587         3.03880865679e-18         1.42961595589e-19
   1.56335         3.76803179716e-18         1.42710958662e-19
     1.568         4.57783505864e-18         1.44214790816e-19
   1.57265         5.13840642156e-18         1.46371743814e-19
    1.5773         5.58219593427e-18         1.52879021394e-19
   1.58195         6.01472612131e-18         1.53267351354e-19
    1.5866         5.71510622318e-18         1.46210944916e-19
   1.59125         4.98991542049e-18         1.41116444862e-19
