#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023        -1.48105003665e-19          3.3851378677e-19
    0.9047         9.41483997916e-20         3.30182621142e-19
    0.9071        -6.61595862777e-20         3.28430221979e-19
    0.9095        -1.04748779191e-19         3.37346020533e-19
    0.9119         3.13466791753e-20         3.83035543795e-19
    0.9143        -1.60213054193e-19          3.2491963105e-19
    0.9167         -7.1141646066e-20         3.15004870625e-19
    0.9191         3.22889990834e-19         3.03544273737e-19
    0.9215         2.58676583854e-19         3.11330620723e-19
    0.9239         2.60396568551e-20         3.13315431296e-19
    0.9263          3.4992201676e-20         2.98975805138e-19
    0.9287         1.14616383263e-19         2.97372099006e-19
    0.9311        -2.06351833734e-19         3.02830699558e-19
    0.9335         2.55563169195e-19         2.94214465894e-19
    0.9359         4.08946944577e-20         3.03481588291e-19
    0.9383         2.28830155822e-19         3.01346928739e-19
    0.9407         2.05216379159e-19         2.89720789366e-19
    0.9431         3.58703900361e-19         2.83134054138e-19
    0.9455         3.26161475866e-19         2.76649720658e-19
    0.9479         3.69944076802e-19         2.79469630129e-19
    0.9503        -1.75231538306e-19         2.75926507274e-19
    0.9527        -5.33898397094e-20         2.69244458564e-19
    0.9551         2.87098841311e-19         2.61480461993e-19
    0.9575         1.23912540563e-19         2.61656259888e-19
    0.9599         4.71398779809e-20         2.63332995435e-19
    0.9623         2.59618569977e-19         2.55716792586e-19
    0.9647        -4.92157955058e-20         2.47869940022e-19
    0.9671        -2.92571567651e-20         2.47911513583e-19
    0.9695         9.53928745778e-20         2.46042435559e-19
    0.9719         3.12941618959e-20         2.41966927847e-19
    0.9743        -1.26862111821e-19         2.38609728988e-19
    0.9767         5.47303694553e-20         2.36111397591e-19
    0.9791          2.7952164343e-19         2.36364140893e-19
    0.9815         2.26654593142e-19          2.3299709493e-19
    0.9839         3.08340871109e-19         2.31674997888e-19
    0.9863         4.40804291061e-19         2.28839551506e-19
    0.9887         3.88128823113e-19         2.28365871187e-19
    0.9911         3.32303840686e-19         2.26044514353e-19
    0.9935         3.50806502327e-19         2.22628375409e-19
    0.9959         3.17086150777e-19         2.19953909772e-19
    0.9983         1.79002866659e-19         2.14491628224e-19
    1.0007        -5.89218922873e-21          2.1181847418e-19
    1.0031         3.04331909647e-19         2.09270366406e-19
    1.0055         3.62210768587e-19         2.07724748052e-19
    1.0079         2.58601691588e-19         2.05853860191e-19
    1.0103         2.20592709016e-19         2.02228797774e-19
    1.0127         1.97427936638e-19         2.01117945655e-19
    1.0151         3.12210668823e-19         2.00236317962e-19
    1.0175         2.73412735806e-19         1.97401904682e-19
    1.0199         4.96293052452e-19         1.95500426112e-19
    1.0223         5.16086316039e-19         1.92384322639e-19
    1.0247         6.61752390917e-19         1.90148701775e-19
    1.0271         6.13062141445e-19         1.87469748848e-19
    1.0295          6.8127436867e-19         1.86566312588e-19
    1.0319         5.83829915392e-19         1.83251858692e-19
    1.0343         4.69957241017e-19         1.83552545342e-19
    1.0367         5.94719147522e-19         1.83173068046e-19
    1.0391          7.7807620248e-19         1.83821358277e-19
    1.0415         4.70298689742e-19         1.81751318219e-19
    1.0439         4.64741075077e-19         1.80662852207e-19
    1.0463         5.13250253767e-19         1.80519641938e-19
    1.0487         5.23352030575e-19         1.84014345264e-19
    1.0511         7.43268756372e-19          1.9028426927e-19
    1.0535         6.42175546966e-19         1.84466649074e-19
    1.0559         7.52997365416e-19         1.85959046605e-19
    1.0583         6.32451099962e-19         1.85384361496e-19
    1.0607         6.10445148872e-19           1.992753651e-19
    1.0631         6.89743565476e-19          1.9030268889e-19
    1.0655         7.67358696647e-19         1.89006352859e-19
    1.0679         6.99927794031e-19         1.85312004591e-19
    1.0703         4.63852637696e-19         1.83107146836e-19
    1.0727         6.47606389677e-19          1.8509944732e-19
    1.0751          6.2862294305e-19         1.90333355636e-19
    1.0775         6.31662280127e-19         1.92196825704e-19
    1.0799         4.65058547435e-19         1.92417478762e-19
    1.0823         5.72383200571e-19         1.90543379589e-19
    1.0847         5.30750949291e-19         1.88357533148e-19
    1.0871         5.76727929874e-19         1.97458963074e-19
    1.0895         4.73142243513e-19         1.88945526512e-19
    1.0919         2.05958788019e-19         1.96052771896e-19
    1.0943         2.22493571202e-19         1.91657522163e-19
    1.0967         2.26506389474e-19         1.89151596946e-19
    1.0991         2.66025213519e-19         1.91173556682e-19
     1.103         2.41130434751e-19         3.06277047017e-19
   1.10765         3.18440334629e-19          2.6675395516e-19
    1.1123        -2.13834703685e-19         2.50530845809e-19
   1.11695        -1.46951675752e-19         2.37355063379e-19
    1.1216        -4.15259692935e-19         2.35598157291e-19
   1.12625        -4.36168740259e-19          2.1806802405e-19
    1.1309        -3.19538650332e-20         2.14020005325e-19
   1.13555        -2.94573017337e-19         2.09981937959e-19
    1.1402        -1.15016096431e-19          2.1765409997e-19
   1.14485        -1.42991964095e-19         2.15736297246e-19
    1.1495        -8.25972526062e-20         2.00612690586e-19
   1.15415        -3.10714428217e-20         2.08848978505e-19
    1.1588        -2.07538324555e-19         2.04630104886e-19
   1.16345        -8.86934984053e-20         2.08200785111e-19
    1.1681          1.1750472373e-19         1.91605407792e-19
