#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
     1.103         1.61475935972e-18         4.24267785899e-19
   1.10765         4.59886884438e-19          3.7898488809e-19
    1.1123        -1.15375858544e-19         3.56233026893e-19
   1.11695         4.85840333291e-19         3.46314545178e-19
    1.1216         4.38339982047e-19         3.07506529751e-19
   1.12625        -1.88812771219e-19         3.10318850707e-19
    1.1309        -9.13547212127e-20         3.16079486266e-19
   1.13555        -6.44400893133e-19         3.00215452096e-19
    1.1402         4.83091141233e-20         2.86682693731e-19
   1.14485         4.40193439912e-19         2.84656448052e-19
    1.1495        -2.88544457571e-20         2.84974887586e-19
   1.15415        -3.50584024374e-19         2.79383285654e-19
    1.1588        -3.13172158169e-20         2.74492018563e-19
   1.16345        -3.92963240761e-20         2.68614511029e-19
    1.1681        -4.36233153591e-19          2.7339212563e-19
   1.17275        -7.51527234693e-20         2.59943605268e-19
    1.1774         6.54080941507e-20         2.49832227491e-19
   1.18205         4.12848259274e-19         2.45083395469e-19
    1.1867         3.25793014519e-19         2.40212653412e-19
   1.19135         4.27584463676e-19         2.37692825025e-19
     1.196         8.41144406109e-19           2.346494048e-19
   1.20065         9.75854701926e-19         2.39527040097e-19
    1.2053         1.23511010175e-18          2.2982528356e-19
   1.20995         1.28960197939e-18         2.26904105767e-19
    1.2146         1.83019007672e-18         2.27217718135e-19
   1.21925         2.49222847986e-18         2.32229082273e-19
    1.2239         2.78976260362e-18         2.33939316847e-19
   1.22855         3.43530054241e-18         2.29144723391e-19
    1.2332         3.99450434061e-18         2.30619267351e-19
   1.23785         4.80710477903e-18         2.29518288442e-19
    1.2425         5.43598429317e-18         2.47570504558e-19
   1.24715         6.45403089525e-18         2.37525496608e-19
    1.2518         6.97585583415e-18         2.41107773136e-19
   1.25645         7.47414543349e-18         2.43372874561e-19
    1.2611         8.46105826812e-18         2.54629968975e-19
   1.26575         9.11262781752e-18         2.60884446167e-19
    1.2704         8.87298916328e-18         2.46518578805e-19
   1.27505         8.16621225283e-18         2.50797861382e-19
    1.2797         7.22726468704e-18         2.27769579042e-19
   1.28435         6.22539369388e-18         2.31485331249e-19
     1.289         4.93314318465e-18          2.2859234558e-19
   1.29365         4.27342941209e-18         2.17280926359e-19
    1.2983         3.91438407251e-18         2.19125153904e-19
   1.30295         3.22113038183e-18         2.00835964929e-19
