#==========================================================================
#Wavelength (um)  Flux (ergs s-1 cm-2 A-1)  Uncertainty (ergs s-1 cm-2 A-1)
#==========================================================================
    0.9023         -6.3629096134e-19         9.85699147139e-19
    0.9047         8.31833519058e-19         9.22481687785e-19
    0.9071         3.87019657704e-19         8.86074863326e-19
    0.9095        -1.52421161448e-19         9.24026294678e-19
    0.9119         6.36189882517e-21         9.28318542119e-19
    0.9143           2.828442394e-19         8.29320626923e-19
    0.9167         1.08773584823e-19         8.43140339657e-19
    0.9191         2.91636523342e-19         8.05954910282e-19
    0.9215        -1.25255390427e-20         8.50586483269e-19
    0.9239         2.76038369189e-19         8.82337780307e-19
    0.9263         1.06200321974e-18         8.81730790926e-19
    0.9287        -1.87546976633e-20         7.82086971092e-19
    0.9311         1.05809267234e-18         8.10486196827e-19
    0.9335         8.70625021834e-19         7.76189124204e-19
    0.9359        -2.10843343031e-19         7.74647171564e-19
    0.9383         9.96557943913e-20         8.02148373566e-19
    0.9407         9.04021930194e-19         7.67654970043e-19
    0.9431         1.63885991355e-18         7.68674716796e-19
    0.9455         1.29251113823e-20         6.86039934183e-19
    0.9479         3.58002626986e-19         7.08098277076e-19
    0.9503         1.30536262542e-18         7.50750248331e-19
    0.9527        -3.16859956199e-19         6.87093424935e-19
    0.9551        -7.71459774717e-19         6.42006072953e-19
    0.9575        -1.02296121987e-18         6.35742236864e-19
    0.9599         -4.3255603492e-19         6.67367111646e-19
    0.9623         1.75966404905e-19         7.34601749674e-19
    0.9647         8.10873410594e-19         7.21921282308e-19
    0.9671         6.55079729298e-19         6.55385959822e-19
    0.9695         4.70052642077e-20         6.39065865238e-19
    0.9719         2.83410357219e-19         6.42295681709e-19
    0.9743         8.85921583905e-19         6.54075274366e-19
    0.9767         3.94383719579e-19         6.42260245491e-19
    0.9791        -3.05189419057e-19          6.1762202263e-19
    0.9815        -7.00736428993e-19          5.9764499327e-19
    0.9839        -8.96916034749e-19         6.02313248039e-19
    0.9863         3.44326668905e-19          5.8933833896e-19
    0.9887         7.53515885477e-19         5.95928071132e-19
    0.9911         6.60439473668e-19         6.20504761819e-19
    0.9935         5.45078805248e-19          6.3584917075e-19
    0.9959         9.75448700629e-19          6.5497150068e-19
    0.9983        -5.69840095366e-19         5.85441806622e-19
    1.0007         6.95393929968e-19         5.96614243773e-19
    1.0031         1.95371267539e-19         6.16478999458e-19
    1.0055         1.41859649769e-19         6.06951098407e-19
    1.0079        -1.74788205099e-19         5.65610664813e-19
    1.0103         1.06150144609e-18         5.82019453153e-19
    1.0127         2.01479267095e-18         6.10798437124e-19
    1.0151         1.69653382944e-18         6.54860322019e-19
    1.0175         1.58765055125e-18         6.02267716626e-19
    1.0199         1.35968588149e-18         5.96071992582e-19
    1.0223         9.99857969099e-19         5.53912894582e-19
    1.0247         1.58090424973e-18         5.81385632239e-19
    1.0271          2.1728490892e-18         5.54798459129e-19
    1.0295         2.38302041795e-18         5.43357408742e-19
    1.0319         2.32106644726e-18         5.59095128756e-19
    1.0343         2.38558425799e-18         5.15657384928e-19
    1.0367         2.57965820493e-18         5.14395954888e-19
    1.0391         3.22236379491e-18         5.36203924767e-19
    1.0415         2.97498549102e-18         6.07671240874e-19
    1.0439         2.39759330282e-18         5.46891294931e-19
    1.0463         2.46198988731e-18         5.27038140451e-19
    1.0487         1.95125228388e-18         5.17670457052e-19
    1.0511         1.90570502698e-18         5.21140796279e-19
    1.0535         2.87261434228e-18         5.31018209439e-19
    1.0559         2.66691516667e-18         5.17391865728e-19
    1.0583         2.87343838519e-18         5.37629839172e-19
    1.0607         2.66105877269e-18         5.19844030109e-19
    1.0631         2.82568752109e-18         5.24928208748e-19
    1.0655         2.85768603797e-18         5.16489906234e-19
    1.0679         3.23197353841e-18         5.30677161315e-19
    1.0703         3.02343087938e-18         4.95009067802e-19
    1.0727         1.89850643251e-18         4.91717625349e-19
    1.0751         1.33873519707e-18         5.20248075977e-19
    1.0775         2.51485665266e-18          5.2364728931e-19
    1.0799           1.718958011e-18         5.67494389049e-19
    1.0823         1.65804326909e-18         5.81565071592e-19
    1.0847         1.89067336048e-18         5.27280589331e-19
    1.0871         1.73677074382e-18          5.1357239914e-19
    1.0895         7.61285516371e-19          5.3392674547e-19
    1.0919         9.53874462548e-19          5.4636424569e-19
    1.0943         -4.4951095304e-19         5.16118679057e-19
    1.0967         5.81723817889e-19         5.86195177797e-19
    1.0991          1.0453878052e-18         5.59949577164e-19
     1.103         5.66888940699e-19         3.25454441372e-19
   1.10765         7.57178721176e-20         2.70280411467e-19
    1.1123         3.16628555886e-19         2.48261804755e-19
   1.11695        -5.43162084928e-19         2.34494174734e-19
    1.1216        -6.55768773189e-19         2.38699301159e-19
   1.12625        -1.50594517089e-19          2.2142239505e-19
    1.1309        -2.30123799953e-19         2.23239391303e-19
   1.13555         2.55365141363e-19         2.31143019143e-19
    1.1402         2.84539101773e-19         2.11761486406e-19
   1.14485         3.24775687081e-19         2.18961197193e-19
    1.1495         8.72847938193e-20         2.06368417353e-19
   1.15415        -8.78787562116e-20           2.133715737e-19
    1.1588        -1.62244872114e-19         2.16954152549e-19
   1.16345        -8.79465967986e-20         1.98812816446e-19
    1.1681         8.28652724236e-20          1.9474974586e-19
   1.17275         3.72353374283e-21         1.90766806904e-19
    1.1774        -4.76785278562e-20         1.88438364062e-19
   1.18205          1.2161367006e-19         1.82461734159e-19
    1.1867        -2.03061658021e-19         1.83108352918e-19
   1.19135        -1.00447850672e-19         2.21144058269e-19
     1.196          7.0659440612e-20         1.75067682304e-19
   1.20065         3.11555121258e-19         1.79280979973e-19
    1.2053         2.45544304372e-19         1.71540696299e-19
   1.20995        -8.73945049827e-20         1.73741062178e-19
    1.2146         3.81948728771e-19           1.667983622e-19
   1.21925         4.26026944682e-19         1.63784879442e-19
    1.2239         5.16616200521e-19          1.6278427677e-19
   1.22855         8.38605618685e-19         1.62620556601e-19
    1.2332         1.08319902965e-18         1.72000665102e-19
   1.23785          1.2309709667e-18         1.60053742438e-19
    1.2425         1.62937477118e-18         1.60655988516e-19
   1.24715         1.87623746926e-18         1.61186031612e-19
    1.2518         2.21745978975e-18         1.61333476817e-19
   1.25645         2.57889968428e-18         1.61422184856e-19
    1.2611         2.92209598918e-18         1.69917441009e-19
   1.26575         3.49269601612e-18         1.65666237914e-19
    1.2704         3.53159270415e-18         1.64377291642e-19
   1.27505         3.20774042859e-18         1.61182259555e-19
    1.2797          2.7744413154e-18         1.55978526074e-19
   1.28435         2.29721699626e-18         1.52807328537e-19
     1.289         1.62702982529e-18         1.54783954982e-19
   1.29365          1.3008225184e-18         1.47960777475e-19
    1.2983         1.16408574771e-18         1.45938146654e-19
   1.30295          7.2057054504e-19         1.46172408034e-19
    1.3076         4.53706082682e-19         1.47138370152e-19
   1.31225         3.45250831724e-19         1.45896826614e-19
    1.3169         9.58639358824e-20         1.46305725627e-19
   1.32155         3.33207581774e-19         1.35217800757e-19
    1.3262        -7.47700847499e-20         1.33165293048e-19
   1.33085        -2.14027323592e-19         1.47952305357e-19
    1.3355         6.60799926683e-20         1.30994246539e-19
   1.34015          1.5382519118e-19         1.29879339133e-19
    1.3448         1.78003979185e-19         1.29240471951e-19
   1.34945         8.89263453865e-20         1.27861514387e-19
    1.3541        -1.81853332639e-20         1.34865955674e-19
   1.35875        -1.64434790687e-20          1.2624991229e-19
    1.3634          7.0882931408e-20         1.26797497542e-19
   1.36805        -1.02630153702e-19         1.27688678872e-19
    1.3727          -3.201226654e-20         1.26556019953e-19
   1.37735         1.70687943254e-19         1.27844547193e-19
     1.382         6.68938894035e-20          1.3314569024e-19
   1.38665        -5.09476099754e-20          1.2853603163e-19
    1.3913         1.68770268907e-19         1.30606528995e-19
   1.39595        -5.38338241256e-20         1.29919298561e-19
    1.4006        -2.86087621458e-20         1.24948523208e-19
   1.40525        -9.06228944627e-20         1.32194719846e-19
    1.4099        -2.20206707694e-19         1.23447004046e-19
   1.41455         7.43451567181e-20         1.28196345648e-19
    1.4192        -1.39004481234e-19         1.19827981783e-19
   1.42385           6.587463125e-20          1.2019381175e-19
    1.4285        -7.63508692092e-20         1.19000884222e-19
   1.43315         5.63689949572e-20         1.22816153528e-19
    1.4378        -4.61621554757e-20         1.17756826973e-19
   1.44245        -2.24561317531e-20         1.17320578049e-19
    1.4471         9.10800508205e-20         1.17291398138e-19
   1.45175        -6.30304766553e-21         1.16815188974e-19
    1.4564        -1.31549719647e-21         1.16692450297e-19
   1.46105           2.274807285e-21         1.16921767777e-19
    1.4657         1.87282764549e-19         1.26972958778e-19
   1.47035        -1.13175876582e-19         1.18147904663e-19
     1.475        -9.15234982955e-21         1.17363120079e-19
   1.47965        -1.47651094534e-19         1.17562774715e-19
    1.4843        -5.35007565487e-20         1.17190068373e-19
   1.48895        -6.74126915494e-20         1.17340582262e-19
    1.4936         5.27385976948e-20          1.1676315867e-19
   1.49825         -4.1547168343e-20          1.2317932513e-19
    1.5029         -5.2422245334e-22         1.15527395953e-19
   1.50755        -7.48879170601e-20         1.14989794428e-19
    1.5122          1.3385205878e-19         1.22323618691e-19
   1.51685         9.70172758532e-20         1.22709592673e-19
    1.5215         4.14501687422e-20          1.1593977514e-19
   1.52615          1.9368630159e-19         1.19923611502e-19
    1.5308         4.76832751736e-19         1.22599513991e-19
   1.53545         3.67432192628e-19         1.16541912284e-19
    1.5401         1.17459403105e-19         1.15219433645e-19
   1.54475         4.58782276053e-19         1.15696956084e-19
    1.5494         5.26814387899e-19         1.16782468572e-19
   1.55405         5.04906870752e-19         1.22762043612e-19
    1.5587         7.14008939724e-19         1.17797560626e-19
   1.56335         1.04219831785e-18         1.18513924834e-19
     1.568         1.21347346427e-18         1.33250935359e-19
   1.57265         1.49054639737e-18         1.22939532687e-19
    1.5773          1.3842298137e-18         1.19131156889e-19
   1.58195         1.65689705097e-18         1.19883619357e-19
    1.5866         1.79412698793e-18          1.2502816932e-19
   1.59125         1.70760394104e-18         1.24553489148e-19
    1.5959         1.44645132647e-18         1.23321439338e-19
   1.60055         1.08991285485e-18         1.18044316372e-19
    1.6052         7.01948928598e-19         1.19888849484e-19
   1.60985         4.16684932236e-19         1.18223546893e-19
    1.6145         2.26633235119e-19         1.14995371638e-19
